question,answer,wrong1,wrong2,wrong3
Most primitive seed plants are,Gymnosperms,Angiosperms,Pteridophytes,None
Gymnosperms are the plants which,Produce seeds in cones,Bear flowers,Bear fruits but no vascular tissue,Do not produce seeds in cones
The gymnosperms differ from angiosperms in,Absence of ovary,Habit,Habitat,Presence of seed
Gymnosperms are characterized by,Naked seeds,Seeds enclosed in fruits,Winged seeds,Multiple sperms
Gymnosperm resemble angiosperms in having,Presence of ovules,Ciliated sperms,Absence of archegonia,Presence of manoxylic wood
Most primitive of gymnosperms are,Cycadofilicales,Cycadales,Bennettitales,Ginkgoales
Vascular bundle in gymnosperms is of,Open type,Closed type,Bicollateral type,Mesarch
Vessels in xylem of gymnosperms are,Absent except gnetales,Present,Absent,Present except gnetales
Which acts as a connecting link between gymnosperms and angiosperms,Gnetales,Cycadales,Ginkogoales,None
"In gymnosperms, pollination occurs exclusively by",Wind,Insects,Water,All of these
Gymnosperms are,Perennials,Annuals,Biennials,All of these
Ovules in gymnosperms in generally,Unitegmic,Bitegmic,ategmic,None
Endosperm in gymnosperm is,Triploid,Diploid,Haploid,Polyploid
Endosperm in gymnosperms develops from,Megaspore,Microspore,Secondary nucleus,Archegonium
In gymnosperms how many male gametes are produced by each pollen grain,2,4,3,1
The largest egg is found in plant kingdom is,Cycas,Pinus,Sequoia,Selaginella
"In gymnosperms, endosperm is haploid because it is formed",Before fertilization,After fertilization,After the development ofembryo,At the time of fertilization
'Reed Wood' tree is,Sequoia,Cedrus,Pinus,Dalbergia
Which gymnosperm is having bitegmic ovules and also bears flowers?,Gnetum,Cycas,Ginkgo,Cedrus
'Christmas tree' is,Araucaria alaxia,Araucaria imbricata,Ginkgo,None
Sago palm is,Cycas revoluta,Araucaria,Pinus gerardiana,None
Fertilization in gymnosperms is,Porogamous,Mesogamous,Chalazogamous,None
Female cone or strobilus is asent in which gymnosperms?,Cycas,Pinus,Ephedra,None
Monkey's puzzle tree is the common name of,Araucaria imbricata,Pinus longifolia,Cycas revoluta,Ginkgo
"In gymnosperms, the egg are produced in",Archegonia,Megasporophyll,Microsporophyll,Ovules
Tallest tree is,Ephedra,Cycas,Eucalyptus,Cedrus
Male gametophyte in gymnosperms is represented by,Microspore,Microsporangium,Nucellus,Spore dyad
The number of neck canal cells in archegonium of gymnosperms is,0,4,6,1
Cycas is,Dioecious,Monoecious,Steril,None
Megasporophylls of gymnosperms are comparable to which structure of angiosperms,Carpels,Stamens,Ovules,Megasporphylls
The lateral movement of water in leafletof Cycas takes place by,Transfusion tissue,Xylem,Tracheas,lateral tissue
Algal zone is characteristic of,Coralloid roots of Cycas,Roots of Pinus,Steam of Cycas,Normal rootof Cycas
Fern character in Cycas is,Circinate vernatio,COralloid roots,Tap root system,Reticulate venation
Coralloid roots of Cycas are,Apogeotropic,Chemotropic,Phototropic,Positive geotropic
Wood of Cycas is,Manoxylic and polyxylic,Monoxylic and manoxylic,Manoxylic,Diploxylic
Cycas is marked by largest,All the above,Egg,Sperm,Ovule
The number of cotyledons in seed of Cycas is,2,1,Many,All of these
Wood of Cycas consists of,Tracheids only,Vessels only,More of tracheids and less of vessels,equal number of tracheids and vessels
Male cne of Pinus is modified,Dwarf shoot,Long shoot,Megasporophyll,Vegetative leaves
How many kinds of leaves fo Cycas have?,2,3,1,0
Ciliated male gametes are found in,Both a & b,Cycas,Ginkgo,Pinus
Which of the following is called a living fossil?,Cycas,Pinus,Metasequoia,Ephedra
Steam of Cycas is,Unbranched (caudex),Branched,Both a & b,None
Leaves in Cycas show,Cerophytic characters,Hyfrophytic characters,Mesophytic characters,Lithophytic character
Each stamen in Cycas is represented by a,Microsporophyll,Male cone,Microsporangium,Megasporophyll
Pinus wallichiana is also called,both a & c,Blue Pine,Rani salla,Gobre salla
Vascular bundles of Cycas as well as Pinus steam are,"Conjoint, collateral and open",Conjoint,Collateral and closed,"Conjoint, collateral and closed"
Polyembryony among gymnosperm is more common in,Pinus,Cycas,Citrus,None
Ovules of Pinus is,Anatropous and unitegmic,Orthotropous and unitegmic,Orthotropous and bitegmic,Amphitropous and bitegmic
The germination of seed in gymnosperms is,Hypogeal except Pinus,Hypogeal only,Epigeal only,Epigeal except Pinus
The male gametes of Pinus species are,Non - ciliated,Biciliated,Multiciliated,None
Archegonium of Pinus lacks,Neck canal cells,neck cells,Egg,Both a & b
Pollination in Cycas occurs at,3 celled stage,Single celled stage,2 celled stage,4 celled stage
Wood of Pinus is,Non - porous,Porous,Slightly porous,None
The male cone of Pinus is formed of,Microsporophyll's,Anthers,Megasporophylls,Ligules
Which species of Pinus has 3 needles,Pinus roxberghii,Pinus wallichiana,Pinus gerardiana,None
Pinus species are,Monoecious,Dioecious,Both a & b,None
In Pinus male and female reproductive structures occur,On different braches of same plant,On different plants,On same branch,None
