question,answer,wrong1,wrong2,wrong3
H2S + H2O2-----> S+ H2O shows;,The oxidizing action of H2O2,The reducing action of H2O2,The catalytic action of H2O2,The oxidizing action of H2S
The concentrated H2SO4 is used extensively to prepare other acids because concentrated H2SO4:,Has a high boiling point,Is highly oxidized,Is an excellent dehydrating agent,has a high density
When SO2 react with Iron,Fe is oxidized,Fe2O3 is formed,FeS is fromed,Fe is reduced
Ozone which is used to bleach delicate fibre is mixture of,Na2O2 and dil. HCl,"Mixture of Na2CO3, NaHCO3 and H2O2",Mixture of H2O2 and NaHCO3,Mixture of H2O2 and Na2O2
Aq. Solution of SO2 reacts with H2S to precipitate Sulphur. Here SO2 act as,oxidizing agent,acid,reducing agent,dehydrating agent
"In the reaction : HCOOH-----H2SO4---> CO+H2O, H2SO4 act as",Dehydrating agent,reducing agent,oxidizing agent,bleaching agent
Vulcanization of rubber is done with,Sulphur,Iodine,Carbon,Peat
Chemical composition of Fuming Sulphuric acid is,H2SO4+SO3,H2SO4,H2SO4+SO2,H2SO4+H2O
Hypo is used in photography due to its,complexing property,picture printing,reducing property,oxidizing property
Compound X reacts with AGNO3 and gives white ppt. and also gives white ppt with H2SO4. The compound X is,BaCl2,Ba(NO3)2,Pb(NO3)2,CuCl2
What is the oxidation of central atom in oleum?,+6,+7,+5,+8
In photography thiosulphate is used for,dissolving out unreacted silver bromide,Converting Silver halides to metallic silver,Reducing solubility if AgBr,Presenting overdeveloping or fogging
Charring of sugar by conc. H2SO4,dehydrating action,Oxidizing action,Reducing action,dehydrogenation action
Platinum asbestos is used in,Contact process,Haber's process,Ostwalds preocess,Kipps's apparatus
Pot ferro cyanide on heating with Conc. H2SO4,CO,CO2,SO2,SO3
Sulphur dioxide is used as,All of these,Bleaching agent,Antichlor,Disinfectant
Which property is exhibited by SO2. When SO2 reacts with water to form H2SO3,None,Oxidising,Reducing,All
Which of the following oxides is amphoteric?,BeO,Na2O,MgO,FeO
SO2 acts as,Both Oxidizing agent and reducing agent,Oxidizing agent only,Reducing agent only,Neither oxidizing nor  reducing agent
Which of the following oxide react with both HCL and NaOH,ZnO,CO,P2O5,N2O
which one of the following combination of substance produces sulphur dioxide gas?,Conc. H2SO4 and Cu,Conc. H2SO4,Dil. H2SO4 and Zinc,Dil H2SO4 and Cu
In contact process the Arsenic impurity is removed by,FeO,Pt,V2O5,Fe(OH)3
Who discovered oxygen?,Joshep priestly,William Ramsay,Dewar,Bosch
Ozone is formed in the upper layer of the atmosphere by,Action of UV rays on O₂,Combination of O₂,High pressure on O₂,Action of electric discharge on O₂
Ozone is,An allotrope of oxygen,An isomer of oxygen,An isotope of oxygen,Isostructural with H₂O₂
