question,answer,wrong1,wrong2,wrong3
A tuning fork (A) of unknown frequency gives 4 beats/sec when sounded with another fork B frequency 256 Hz. The fork A is now loaded with a piece of wax and again 4 beat/ sec are heard. Then the frequency of fork A is,260 Hz,252 Hz,256 Hz,264 Hz
"Two tuning forks have frequency 440 Hz and 444 Hz, then resultant frequency is",4 Hz,442 Hz,884 Hz,444 Hz
The waves of length 50 cm and 51 cm produce 12 beats per second. The velocity of sound is:,306 m/s,360 m/s,340 m/s,330 m/sec.
"Two tuning forks of frequencies 252 Hz and 256 Hz are sounded simultaneously, the number of beats heard per second are:",4,1/4,2,254
"Two tuning fork A and B sounded to together to produce 5 beats. The frequency of B is 512 Hz. When fork A 11. A wave is reflected from a is filed and sounded together, the beat frequency increases. The frequency of A is",517 Hz,502 Hz,0.517 Hz,5.17 Hz
When two tuning forks of frequency 484 Hz and 486 Hz are sounded together What will be beat frequency?,2 Hz,4 Hz,3 Hz,6 Hz
For production of beats the radio should tune with,"Difference frequency, constant phase","Same frequency, difference phase","Difference frequency, same phase",Same amplitude and same frequency.
Sound waves of wavelengths 5 m and 6 m produce 33 beats in 3 sec the velocity of sound is,330 m/sec.,300 m/sec,320 m/sec,340 m/sec
The phenomenon of beats is due to,superposition of coherent waves,superposition of incoherent waves,reflection,refraction
"When the prongs of a tuning fork are cut, its frequency",increases,decreases,remains unchanged,may increases or decreases depending on the material of fork
A wave is reflected from a free boundary. The change of phase on reflection will be,zero,π/4,π/2,π
The minimum distance of a reflector to hear the echo of a sharp sound in terms of speed of sound v is,v/20,v/10,v/5,10v
"The ratio of intensities of two interfering waves is 4:1, then the ratio of maximum to minimum intensity is:",9:1,1:4,4:1,3:1
"Two plane waves of same frequencies having intensities and 41, travelling in the same direction. The resultant intensity at minima is",1,31,51,91
"Two waves having intensity I and 91 produce interference. If the resultant intensity at a point is 71, what is the phase difference between the two waves?",120°,0°,60°,90°
"If the difference of frequencies of two sounding sources is more than 10, then the beats",are not formed at all,are heard with increased clarity,. cease to be distinguishable,are inaudible.
Beats are produced by two progressive waves of equal amplitude. Maximum intensity at the waxing is x times the intensity of each wave. The values of x is,4,1,√2,2
Two tuning forks of frequencies 252 and are sounded simultaneously. The number of beats heard per sec are,4,1/4,2,254
"There are three sources of sound equal intensities but with frequencie 400, 402 and 404 Hz. The number beats per secondcis",2,4,3,zero
A tuning fork A of unknown frequenc gives 4 beats/sec when sounded with another fork B of frequency 256. The fork A is now loaded with piece of wax and again 4 beats/sec are heard. Then the frequency of fork A after loading is,252 Hz,256 Hz,. 260 Hz,264 Hz
"Tuning fork X of frequency 258 Hz gives 8 beats/sec with tuning fork Y When Y's prongs are cut a little and they are sounded again, the number of beats remain the same. The frequency of Y before cutting the prong is",250 Hz,258 Hz,264 Hz,266 Hz
Two tuning forks have frequencies 450 Hz and 454 Hz. On sounding these forks together the time interval between successive maximum intensities will be,1/4 sec,1/2 sec,1 sec,4 sec
Ten tuning forks are arranged in increasing order of frequency in such a way that any two nearest forks produce '4 beats/sec. The highest frequency twice that of the lowest. Possible lowest and highest frequencies in Hz are,36 and 72,40 and 80,50 and 100,22 and 44
"A tuning fork A of frequency 200 Hz is sounded with fork B, the number of beats per second is 5. By putting some wax on A, the number of beats increases to 8. The frequency of fork B is",205 Hz,200 Hz,195 Hz,192 Hz
"If two waves of same frequency and same amplitude respectively, on superposition, produce a resultant disturbance of the same amplitude, the waves differ in phase by",2 π/3,π,π/3,zero
A source of frequency n gives 5 beats/s when sounded with a source frequency 200 Hz. The second harmonic 2n gives 10 beats per second when sounded with a source of frequency 420 Hz. Then n is equal to,205 Hz,210 Hz,200 Hz,195 Hz
"Two waves y1 = 0.25 sin 320 лt

                    y2=0.25 sin 326 лt

are travelling in same direction. The number of beats produced per second will be",3,6,4,2
Two waves of equal amplitudes a each and equal frequency travel in same direction in a medium. The amplitude of resultant wave in the medium is,from zero to 2a.,zero,a,2a
"Two periodic waves of intensities I, and I2 travel in a medium simultaneously in direction. The difference of maximum intensity and intensity will be",\(4\sqrt{I1.I2}\),\((\sqrt{I1}+\sqrt{I2})^2\),\((\sqrt{I1}-\sqrt{I2})^2\),2(I1+I2)
Two vibrating bodies have frequencies 252 and 256 Hz. The number of beats produced per minute is:4,240,4,120,
Two waves y1 = a sin \( \frac{2π}{λ}(vt-x)\) and y2=acos\( \frac{2π}{λ}(vt-x)\) are superposed. Then resultant wave has amplitude,√2 a,2a,a,zero
Beats are as result of,interference,refraction,reflection,diffraction
"When two tuning forks A and B are sounded together, x beats/second are heard. When one prong of B is loaded with a little wax, the number of beats/second decreases. If the frequency of A is n, then the frequency of B will be",n+x,n-x,n-2x,n+2x
Two sound waves of equal intensity produce beats. The maximum intensity of sound produced in beats will be:,4I,I,2I,2√2I
25 tuning forks are arranged in series with decreasing frequency 3 beats/sec. If the frequency of last tuning fork is octave of the first then the frequency of 1st tuning fork is,144,142,146,140
Two waves of lengths 50cm and 51cm produced 12 beats per second. The velocity of sound is:,306m/s,331m/s,340m/s,360m/s
"Two tuning forks of frequencies 250 and 256 Hz produce beats. If a maximum is produced just now, after how much time the minimum is produced at the same place?",1/12 sec,6sec.,1/6sec.,1/3 sec
"Consider 10 identical sources of sound all giving the same frequency but have random phase angles. If the average intensity of each source is Io, the averages of resultant intensity I due to all these 10 sources will be",I = 10 I。,I = 100 I。,I = Io,I = √10 Io
A set of 28 tuning forks is arranged in a series of decreasing frequencies. Each fork gives 3 beats with succeeding one. The first fork is the octave of the last. Calculate the frequency of the first and that of 15th tuning fork,"150 Hz, 75 Hz","162 Hz, 120 Hz","225 Hz, 125 Hz","120 Hz, 162 Hz"
"Two equations of progressive waves are given as

y1 = asin (ωt-0.1x)

y2 = asin (ωt-0.1x)+Ø/2  are superposing.
The resulting amplitude of two superposing wave is",\(2acos ( \frac{Øo}{4})\),\(acos ( \frac{Øo}{2})\),\(acos ( \frac{Øo}{4})\),\(2acos ( \frac{Øo}{2})\)
"The two equations of wave are given as

\(y1=10sin(3πt+ \frac{π}{3})\)

\(y2=5(sin 3πt+\sqrt{3}cos3πt)\) are superimposed. The ratio of their amplitude is",1:1,2:1,4:1,None
Three sources of sound of frequencies having amplitudes 10mm and 7mm respectively superposing with successive phase difference. The resultant amplitude due to superposing of three wave is,5mm,3mm,4mm,6mm
"43. Two simple harmonic wave equations are represented as у1=5sin104лt
у2 = 5sin100лt superpose. The resultant amplitude of two superposing waves at time 1/4 sec is",zero,5,5√2,10
Two tuning forks A and B when sounded together produce 4 beats/sec. The frequency of fork A is 256 Hz. If fork B is loaded beat frequency increases. The frequency of fork B before loading is,252 Hz,256 Hz,260 Hz,None
"Two tuning forks A and B when sounded together to produce 4 beats/s. The frequency of A is 256 Hz. If fork B is loaded, beat frequency increases to 6 beats/s. The frequency of B after loading is",250 Hz,252 Hz,258 Hz,260 Hz
The amplitude of superposition of two waves y1 = 5sinωt and y2 = 5cosωt is,5√2,0,5,10
"If the amplitude ratio of two sources producing interference is 3: 5, the ratio of intensities at maxima and minima is",16:1,25:16,5:3,25:9
Two sounding bodies produce progressive waves as y1 = 4sin 400лt and y2=3sin 404πt. An observer will hear,"\(2 beats/sec ,with  \frac{Imax}{Imin}= \frac{49}{1}\)","\(2 beats/sec ,with  \frac{Imax}{Imin}= \frac{4}{3}\)","\(4 beats/sec ,with  \frac{Imax}{Imin}= \frac{7}{2}\)","\(4 beats/sec ,with  \frac{Imax}{Imin}= \frac{4}{3}\)"
Two coherent sound waves of equal frequency traverse two path S1P and S2P to reach at a point P. If  S2 P - S1P =  5λ/2 then point P is at,IIIrd minima,Ist minima,IInd minima,IIIrd maxima
A tuning fork vibrating with a sonometer having 20cm wire produces 5 beats/sec. The beat frequency doesn't change if the length of the wire is changed to 21 cm. The frequency of the tuning fork (in Hz) must be,205,200,210,215
The motion of a particle is given by x = A sinωt +B cosωt. The motion of the particle is,simple harmonic with amplitude\(\sqrt{A^2+B^2}\),not simple harmonic,simple harmonic with amplitude A+B,simple harmonic with amplitude (A+B)/2
"If the difference between the frequencies of the tuning forks is n, then number of beats produced in two seconds are:",4n,n,2n,3n
"If frequency of a fork is increased by 50%, then change in tension is:",125%,50%,75%,100%
