question,answer,wrong1,wrong2,wrong3
1. TOTAL NUMBER OF EMO PRESENT IN BOTH EYE ARE,C. 12,A. 10,B. 11,D. 6
2. ALL RECTUS MUSCLE ORIGINATED FROM,C. ANNULUS OF ZIN,A. ORBIT,B. SCLERA,D. SPIRAL TILLAUX
3. LONGEST AND THINEST EMO IS,D. SUPERIOR OBLIQUE,A. SUPERIOR RECTUS,B. INFERIOR RECTUS,C. MEDIAL RECTUS
"4. DISGUGATE, SYMMETRICAL, SYNCHRONOUS IN WARD MOVEMENT OF THE TWO EYE ARE CALLED",A. CONVERGENCE,B. DIVERGENCE,C. LEVOVERSION,D. DUCTION
5. THE OCULOMOTOR NERVE ( 3rd NERVE) SUPPLIES,D. ALL,A. MEDIAL RECTUS,B. INFERIOR RECTUS,C. SUPERIOR RECTUS
6. THE 6 th NERVE SUPPLIES,B. LATERAL RECTUS,A. MEDIAL RECTUS,C. SUPERIOR RECTUS,D. INFERIOR RECTUS
7. TORSIONAL MOVEMENTS ARE,C. BOTH,A. INTORSION,B. EXTORSION,D. NONE
8. SUPERIOR OBLIQUE IS SUPPLIED BY,D. TROCHLEAR NERVE,A. ABDUCENS NERVE,B. FACIAL NERVE,C. OCULOMOTOR NERVE
9. SHOTEST EMO IS,C. INFERIOR OBLIQUE,SUPERIOR RECTUS,B. LATERAL RECTUS,D. SUPERIOR OBLIQUE
10. PRIMARY ACTION OF SUPERIOR RECTUS IS,B. ELEVATION,A. DEPRESSION,C. ADDUCTION,D. ABDUCTION
11. synergist of media rectus is,A. SUPERIOR RECTUS,B. LATERAL RECTUS,C. INFERIOR RACTUS,D. SUPERIOR OBLIUE
12. ANTAGONIST OF THE SUPERIOR RECTUS IS,A. INFERIOR RECTUS,B. INFERIOR OBLIQUE,C. MEDIA RECTUS,D. SUPERIOR SECTUS
13. EQUAL INNERVATION LAW IS GIVEN BY,C. DUCTION,A. SHERRINGTON,B. HERRING,D. NONE
14. CONJUGATE MOVEMENT ARE,A. VERSION,B. VERGENCE,C. DUCTION,D. NONE
16. MOVEMENT THAT ALIGN THE EYE TO ENSURE AND MAINTAIN BINOCULAR FIXATION AND BINOCULAR VISION,B. VERGENCE,A. VERSION,C. BOTH,D. NONE
17. HORIZONTAL MOVE IS AWAY FROM NOSE IS,A. ABDUCTION,B. ADDUCTION,C. ELEVATION,D. DEPRESSION
18. HORIZONTAL MOVE IS TOWARDS FROM NOSE IS,A. ADDUCTION,B. CONVERGENCE,C. DIVERGENCE,D. ABDUCTION
