question,answer,wrong1,wrong2,wrong3
Which character differentiates living things from non-living organisms?,They are highly organized and complex made of one or more cells and contain genetic material,They live in the same ecosystem.,They are acted upon by the same environment,Both a and b
The study of fossils is called:,Palaeontology,Environmental Biology,Historical biology,Social biology
Intelligence is under the control of------- ?,Cerebrum,Cerebellum,Thalamus,Hypothalamus
The term biology was coined by,Lamarck and treviranus,Aristotle,Darwin,Linneaous
Study of human beings,Anthropology,Tricology,Ethology,Homology
Study of behaviour of animals is known as,Ethology,Ecology,Cytology,Anthropology
Study of sponges,Parazoology,Cnidology,Nemadology,Nidology
Study of snake is,Serpentology,Icthyology,Entomology,Snakology
Study of birds,Orinthology,Saurology,Avesology,Nidology
Father of modern gentics,Morgan(William bateson),A mendel,Hugo de vries,None
Ink gland is present in,Sepia,Pila,Helix,Limax
Thomas addison was the father of,Endocrinology,Reflex action,Microscope,Histology
Pheromones are,Bioinsecticide,Biopesticide,Anti-Insecticide,All
"An animal with same genetic,specific and sub specific name is",Gorilla,Man,Rabbit,Elephant
"Improvement of human race,through improvement of human environment is",Euthenics,Eugenics,Euphenics,Anthropology
