question,answer,wrong1,wrong2,wrong3
"1. TREATMENT OF WHOLE BODY, AGNI OFDIGESTION AND METABOLISM IS RELATED TO",C. KAYA CHIKITSA,A. KAUMARYABHRITYA,B. AYUVEDA,D. NONE
2. PRACTICE OF YOGA IS WHICH TYPE OF TREATMENT,D. PREVENTIVE,A. GENERAL,B. CURATIVE,C. PRIMARY
3. PONDU ROGA IS ALSO KNOWN AS,A. ANAEMIA,B. JAUNDICE,C. HEPATITIES,D. MALARIA
4. THERE ARE............ TYPES OF SWASA ROGA,A. 5,B. 4,C. 3,D. 7
5. THE COMMONEST HERV USED IN HEART DISEASE IS,D. ALL,A. ARJUN,B. KARPURA,C. HRITPATRI
6. PRATISHYAYA IS A DISEASE OF..............,B. NOSE,A. CHEST,C. ABDOME,D. ALL
7. TYPE OF ARSHA IS.............,C. 6,A. 4,B. 5,D.7
7. PITTA CAN BE REDUCED BY,B. VIRECHANA,A. VAMANA,C. ANNUVASHANA,D. ALL
9. IN HYPERTENSION THE DOSE OF SARPAGANDHA IS,A. 1-2 gm,B. B. 3-6gm,C. 0.5-1 gm,D. 1-2 gm
10. PUNARNARVA IS USED IN,B. ASCITIS,A. TB,C. DYSENTRY,D. BODY PAIN
11. SWASTHAVRITTA IS RELATED TO,C. BOTH A AND B,A. PREVENTIVE,B. PROMOTIVE,D. CURATIVE
12. BASIC PRINCIPLE OF KAMAL CHIKITSA IS,A. VIRECHANA,B. VAMANA,C. NASYA,D. SNEHAN
13. THE BEST DRUG FOR APASMAR IS,B. BRAHMI,A. ASWAGANDHA,C. SATAWARI,D. DHATURO
14. LINGANASA IS THE DISEASE OF,A. EYE,B. PENIS,C. VEGINA,D. BOTH B AND C
15. CIRRHOSIS OF LIVER IS RELATED TO,A. YAKRIT,B. UDARA,C. NASIKA,D. PLIHA
16. THE DROG USED IN FEVER IS,A. SUDARSHAN CHURNA,B. LAXMI VILASH RASA,C. MRITYUNJAYA RASA,D. ALL
