question,answer,wrong1,wrong2,wrong3
Most favourite and ideal material for researches in genetics is,Fruitfly,Housefly,Mosquito,Frog
Genotype is,Genetic composition of an organism,Genetic composition of an tissue,Genetic composition of plastids,Genetic composition of germ cell
A haploid set of all the genes present in a gamete is called,Genome,Genotype,Phenotype,Gene pool
Sum total of all the genetic information in the breeding members of a population at a given time is known as,Gene pool,Genetic clone,Genome,Genetic drift
A cross between hybrid and its parent is,Back cross,Reciprocal cross,Monohybrid cross,Dihybrid cross
Test cross is a cross between,Hybrid × Recessive parent,Hybrid × Dominant parent,Hybrid × Hybrid,All of the above
Monohybrid cross involves,Individuals different in one trait,Individuals of two different parents,Individuals different in two trait,Individuals with parent
Mendel choose how many contrasting traits in pea?,7,3,2,1
A recessive trait in Garden pea is,Wrinkled seeds,Tall stem,Round stems,Coloured seed coat
"""Gametes are never hybrid."" It is statement of law of",Segregation,Dominance,Independent assortment,Random fertilization
Mendel's principle of segregation is based on separation of alleles during,Gamete formation,Seed formation,Pollination,Embryonic development
Mendel formulated the law of purity of gametes on the basis of,Monohybrid cross,Test cross,Back cross,Dihybrid cross
Mendel's law of independent assortment is based on F2 ratio of,9::3:3:1,1:2:1,1:2,3:1
Genotypic ratio of a dihybrid cross is,1:2:2:4:1:2:1:2:1,12:3:1,15:1,1:2:1
Number of genotypes found in F2 progeny of a dihybrid cross is,9,6,3,12
For the dihybrid cross there are,2 allele and 4 characters,1 allele and 2 characters,2 allele and 1 character,4 allele and 2 characters
Number of gamete types formed by AaBbCc individual for three gene loci is,8,2,4,16
Phenotypic ratio of a monohybrid F2 progeny of incomplete dominance is,1:2:1,1:1:1:1,2:1:1,3:1
Incomplete dominance is found in,Antirrhinum,Neurospora,Lathyrus odoratus,Pisum sativum
Lethal genes have phenotypic ratio,2:1,1:2:1,3:1,4:1
Lethal genes are,Killer in homozygous state,Causative for apperance of ancestral traits,Always recessive,Genes present on different chromosomes but influencing single trait
Ratio 9:7 is due to,Complementary genes,Supplementary genes,Lethal genes,Epistatic genes
Ratio 12:3:1 is found in,Dominant epistasis,Recessive epistasis,Complementary gene,Duplicate gene
A gene pair hides the effect of another. The phenomenon is,Epistasis,Dominance,Mutation,None of above
Which one is connected with multiple phenotype?,Pleotropy,Epistasis,Polygenic inheritance,Mutations
