question,answer,wrong1,wrong2,wrong3
In williamson's rxn. Methyl iodide react with sodium t-butoxide gives:,methyl t-buytl ether,tert-butylene,dimethyl ether,Isobutylene
Ethyl iodide reacts with sodium methoxide to give,methyl ethyl ether,methyl ethanoate,ethyl methanoate,ethyl ethyl ethereal
Ether is prepared from halied by,Dry Ag20,ZnO,CH3Cl,Moist Ag2O
The product formed when Sodium methoxide is boiled with chloroethane is,Methyl ethyl ether,Propane,Ethyl alcohol,Propyl alcohol
What products are formed when diethyl ether is treated with excess of Hl and warmed?,alkyl halide and water,alcohol and alkyl halide,CH2I-O-CHI-CH3,[CH3-OH-C2H5]I-
Ether reacts with excess HCI to form,Ethylchoride,Ethylether,Diethylchloride,Oxonium salt
The process of synthesis of ether by treating alkyl halide with sodium alkoxide is known as,Williamson's synthesis,Wurtz reaction,Clemensen reaction,Wolf-Kishner reaction
"With which of the following, Dimethyl ether gives two molecules of same constituent compounds",HI,H2O,KOH,KMnO4
Reaction between C6H5OC2H5 and HX yield,Phenol and ethyl halide,Nitrobenzene and ethyl halide,Aniline and ethanol,None
Ether is soluble in,Conc. H2SO4,Alcohol,H2O,KOH
"Which of the reaction is suitable for formation of

(CH3)3 COCH3?",(CH3)3 COK + CH3I,CH3CHO+ CH3OH,CH3ONa+ (CH3)3 CI,(CH3)3 COK + CH3OH
Compounds with an oxygen atom bonded to two organic groups are known as,ethers,hydroxides,hydroxyls,phenols
CH3-O-C2H5 on reaction with HI gives,methyl iodide and ethanol,ethyl iodide and methanol,CH2I-O-CHI-CH3,[CH3-OH-C2H5]I-
