question,answer,wrong1,wrong2,wrong3
If 15% pure ethyl alcohol (wash on) fractional distillation gives 85% ethyl alcohol by weight which is known as?,Rectified spirit,Absolute alcohol,Methylated spirit,Wash
Benzenw diazonium chloride reacts with phenol in alkaline medium to give?,P- hydroxyazobenzene,Diphenylether,Benzene,Chlorobenzene
Reduction of nitrobenzene by sodium arsenite in alkaline medium gives,Azoxybenzene,Azobenzene,Hydroxyazobenzene,Aniline
IUPAC name of (CH3)CHCOOH is,2 methyl propanoic acid,2 methyl butanoic acid,Propanoic acid,Butanoic acid
Electrolytic reduction pf nitrobenzene in conc H2SO4 gives,P-aminophenol,O- aminophenol,Aniline,Azobenzene
Aldehyde and ketone can be distinguished by,Fehlings solution,Sodium thiosulphate,FeCl3,Sodium bicarbonate
Hybridization of C in C2H6 is,Sp³,Sp²,Sp,Sp³d
Which represents homologous series of alkanol?,CnH2n+2O,CnH2n,CnH2nO,CnH2n+1O
How many α hydrogen are present in CH3−CH=CH−CH3?,6,2,5,7
Which of the following is used in warfare?,CCl3NO2,COCl2,N2O,CH2Cl2
"When CH3Cl is treated with aq. KoH, compound A is formed and when A is treated with Cu at 300•c gives B. Identify B:",Methanal,Methanol,Ether,Acetone
Aldol condensation reaction is given by,CH3CHO,CH4,HCHO,CH3CH2OH
Which of the following reaction is the characteristic of aldehyde having no α hydrogen?,Cannizzaro's reaction,Schmidt reaction,Aldol reaction,Perkin's reaction
Acidic hydrogen is present in,Ethyne,Ethene,Ethane,Prapane
HX is treated with unsaturated alkene to form alkyl halide. This is an example of,Electropholic addition reaction,Electrophilic substitution reaction,Free radical addition,Nucleophilic addition reaction
HX is treated with unsaturated alkene to form alkyl halide. This is an example of,Electropholic addition reaction,Electrophilic substitution reaction,Free radical addition,Nucleophilic addition reaction
Boiling point is more in para nitrophenol than ortho nitrophenol due to,Intermolecular H-bond in paranitrophenol and intramolecular H-bond in Orthonitrophenol,Intramolecular H-bond in paranitrophenol and intermolecular H-bond in Orthonitrophenol,More molecular weight,Less molecular weight
Lipid hydrolysis yields fatty acid,Glycerol,Glycol,Oxalic acid,Formic acid
Marshall's acid is,H2S2O8,H2S2O7,H2SO5,H2SO4
Baking powder contains,Tartarate,Citrate,Oxalate,Fumarate
Which of the following reaction evolves chlorine?,KCLO3+ I2,HCl+ Br2,KCl+ HCl,HOCl+ Br2
Neutron was discovered by,Chadwick,Thomson,Rutherford,E. Goldstein
Maximum percentage of nitrogen is present in,Urea,Ammonia,CAN,N2O
Hypo and I2 reacted to give,Tetrathionate,Sulphate,Sulphite,Nitrate
Hypo and I2 reacted to give,Tetrathionate,Sulphate,Sulphite,Nitrate
Radioactive hydrogen isotope is,Tritium,Proton,Deuterium,Cadmium
Which bivalent metal ion gets dissolved in HCl and precipitated in H2S?,Cd++,CO++,Mn++,Zn++
Mg++ is isoelectronic with,Na+,Ca+,K+,F
Which of used in advertising tube light?,Argon,Helium,Neon,Krypton
Froth floatation is based on,Wetting process,Specific gravity,Density,Molecular weight
Lunar caustic is,AgNO3,AgCl,MgCO3,CaH2
What volume of decinormal NaOH is required to completely neutralize 10 ml of M/2 H2SO4?,100ml,200ml,50ml,400ml
No of the atoms/ molecule in 1 molar mass is known as,Avogardo number,Dalton number,Mole,Normality
Which is not used in salt bridge?,KCl,NH4NO3,KNO3,Na2CO3
Which of used as indicator in titration of CH3COOH against NaOH?,Phenolphthalein,Methyl orange,Methyl red,Methyl blue
Ratio of rate of diffusion of oxygen and hydrogen ion is,1/4,8,2,16
If molecular mass of gas A is 16 times the hydrogen gas. Then the ratio of rate of diffusion is,4,8,16,2
The mole fraction of solute in 2.5 molal aquous solution is,0.043,4.3,0.135,0.231
22 gm of oxalic acid is present in the 500 ml of the solution (1.1gm/mL-1) then percentage (w/w) of oxalic acid is,4%,2%,6%,8%
Which of the correct about pH scale?,Acid mah have pH zero,Weak base have pH =13.5,Acid have pH more than 7,Base have pH 4
Which is used in galvanization?,White vitrol,Green vitrol,Blue vitrol,Calverite
Unit of rate constant of first order reaction is,/min,Mol/min,/mol² min,Mol²/min²
Setting of plaster of paris involves,Hydration to yeild another hydrate,Dehydration,Reduction,Combination
Strongest force is present in,Nucleus,Atom,Electron,Mass
Which compound is formed by passing excess Cl2 through bleaching powder?,Ca(OCl)2,CaCl2,CaOCl2,Ca
"In Rutherford experiment, many alpha particle went Undeflected due to",Atom contains large empty space,Nucleus centrally located,Repulsion by electron,Repulsion by neutron
CaCO3 in water is,Suspension,Solution,Colloid,Gel
Modern periodic table is based on,Atomic number,Atomic weight,Electro negativity,Electron affinity
Self linking property of carbon is called as,Catenation,Isomerism,Cracking,Pyrolysis
Purest form of carbon is,Fullerene,Animal charcoal,Graphite,Diamond
Adsorber of SO2 gas is,KOH,CaCl2,Conc. H2SO4,CaO
Super halogen is,F2,Cl2,I2,Br2
Bleaching of Cl2 is,Permanent by oxidation,Permanent by reduction,Temporary by reduction,Temporary by oxidation
Which ore doesn't contain calcium?,Bauxite,Calcite,Dolomite,Limestone
Person frequently working with phosphorous may suffer from;,Phossy law,Grey disease,Cancer,Rickets
Ozonolysis of  water is done,To remove bacterial impurities,To remove excess cl2,To remove bas taste,To remove permanent hardness
Solution of Na in liquid ammonia is blue coloured due to,Ammoniated electrons,Solvated ions,Ammoniated atoms,Ammoniated cations
H2O2 is formed when a compound A is reacted with dil H2SO4 . The compound A is,Na2O2,MnO2,BaO,Fe2O3
Technetium is named by mendeleev as,Eka manganese,Eka boron,Eka aluminum,Eka germanium
Which of not reduced by H2?,Al2O3,HgO,Fe2O3,CuO
Which of the following is correct for increasing order of metallic character?,"Be, Mg, Ca","Na,Li, k","P,Mg,Cl","P,K,C"
Yellow stain is developed in the hand while working wit nitric acid in the lan. It is due to the presence of,Protein,Lipid,Fat,Carbohydrate
Type of compound formed by elements X of IIA and element Y of VIIA group is,XY2,X2Y,XY,(XY)2
Forces between the N2 molecules is,London force,Hydrogen bonding,Ion dipole interaction,Dipole- dipole interaction
"A metal halide which is white, amorphous and insoluble in water, also used to prepare electrode",Hg2Cl2,HgCl2,PbCl2,Hg2O
"For the production of H2s in lab, we use",Kipp's apparatus,Haber's process,Contact process,Castner's process
Iron renders passive when dipped in,Conc. H2SO4,Dil HNO3,Conc. HNO2,H2O2
Best process for manufacture of urea uses,"Nitrogen, hydrogen, carbon dioxide","Ammonia, calcium hydroxide","Ammonia, oxygen, nitrogen","Nitrogen, hydrogen, oxygen, carbon monoxide"
"The weight of KCl ( mol. Wt of k= 39, Cl=35.5) required to make 0.1 molar solution in 1 litre is",7.45gm,7.35 gm,7.55gm,7.65gm
"In the electrolytic solution, the conduction of electricity is due to",Ions,Free electrons,Dipole,Atoms
"When kMnO4 is used in the titration of oxalic acid in dil. H2SO4 medium, the indicator used is",Self indicator,Phenolphthalein,Methyl orange,Methyl red
Unit of solubility product for AB type salt is,Mol²/L²,Mol/L,Mol²/l²,0
Fractional crystallization is based on the difference of,Solubility,Density,Boiling point,Vapor pressure
"Rate of diffision of CH4 is 2 times the rate of diffusion of gas X, then molecular mass of gas X:",64,4,16,32
The overall rate of reaction is determined by,The rate of slowest intermediate step,Rate of fastest intermediate step,The sum of the rates of all intermediate steps,The average of the rates of all intermediate steps
The momentum and position of electron can be determined by using,Bohr's theory,Heisenberg's uncertainty principle,Pauli's exclusion principle,Rutherford's experiment
Bohr's atomic spectrum is valid for,Hydrogen like single electron species,Hydrogen atom only,Hydrogen molecule,Any species
Polymer is formed by combining of a number of monomers. Adipic acid is the monomer of,"Nylon-6,6",Orion,PVC,Polythene
Amino acid is amphoteric due to,Both alkalinity and acidity,Alkalinity,Acidity,Saltiness
Which acts as both electrophile and nucleophile?,CH3CN,CH3Cl,CH3OCH3,CH3OH
Glycerin are made from,Fat,Soap,Ester,Alcohol
Which of the following is used to manufacture chlorobenzene?,Rashing process,Dow's process,Deacon's process,Castner's process
Clemmensen's reduction is carried by using,"Zn-Hg , conc. Hcl","KoH, NH2-NH2/ glycol",Red P + HI,Na/ C2H5OH
The monosaccharides among the following is,Glucose,Cellulose,Starch,Sucrose
Representation of Ester is,-CO2-,-CO-,-COOH,-O-
When acetone is heated with HCN and undergo complete hydrolysis it forms,2-hydroxy 2-methyl propanoic acid,2-hydroxy propanamide,2-hydroxy propanoic acid,2-hydroxy propanamine
The rate of reaction is doubled for every 10•c rise in temperature. The increase in reaction rate as a result of rise in temperature from 10•c to 80•c is,128 times,64 times,256 times,512 times
Methyl chloride is treated with aqueous KOH to produce compound B. B is now dehydrogenated with Cu at 300•c to produce compounds C which is used in the formation of bakelite. The compound c is,Methanal,Methanol,Ethene,Methane
"When benzaldehyde is heated with acetic anhydride, it condenses and then hydrolyses to give 3-phenyl prop-2en-1-oic acid. The given reaction is",Perkin condensation,Cannizaro reaction,Aldol condensation,Benzoin condensation
"When benzaldehyde is heated with acetic anhydride, it condenses and then hydrolyses to give 3-phenyl prop-2en-1-oic acid. The given reaction is",Perkin condensation,Cannizaro reaction,Aldol condensation,Benzoin condensation
Trade name of nitrobenzene,a,b,c,d
Polymers of tetrafluoroethylene forms,Bakellite,Teflon,PVC,Polyethene
Linder cataluyst with alkylene gives,Cis-alkene,Trans-alkene,Acetone,Alkane
Cinnamic acid is present in,a,b,c,d
Decarboxylation of amino acids,a,b,c,d
Most acidic is,chlorobenzene,o itro phenol,P nitro phenol,M nitro phenol
If emperical forumla is CH2O2 find its molecular formula,CH202,b,c,d
What is formed when chloroform reacts with conc .Hno3,chloropicrin,b,c,d
the solubility of carbonates of alkaline earth metal decreases down the magnesium group because of,Hydration energy of cations,Lattice energy of solids,c,d
If n-heptane 20 in the mixture of isooctance and heptane then octane no,80,100,60,40
Large number of atoms present in:,44.8L N2,2 mole NH3,1 mole NH4cl,d
Iodoform is:,Analgesic,Antiseptic,Antifibrin,d
