question,answer,wrong1,wrong2,wrong3
Which of the following act as moderator in nuclear reactor ?,Graphite,Boron,Cadmium,Silicon
Which radioactive substance recently found in buildings ?,Radon,Plutonium,Radium,Thorium
Thorium(At.mass 232 and Atomic no.90) is converted to lead(Atoic mass 203 and atomic no.82)then no of α and β emitted  is,6α and 4β,4αand 6β,8α and 2β,5α and 6β
Successive emission of one alpha particle and two beta particle results in the formation of an,Isotope,Isobar,Isotone,Isobar
Which of the following is a false statement about alpha particle:,Its e/m ratio is equal to that of He,It is a doubly ionized helium atom,Is heaviest particle among the particles of radioactive emission,It is represented by He+++++
Which is radioactive inert gas ?,Rn,Xe,Kr,He
β-rays emitted by the radio-active material are,Charged particles emitted by the  nucleus,Electromagnetic radiation,Neutral particles,Both A and B
Radioactive decay is,First order,Second order,Third order,Zero order
Which of the following is most fissionable ?,92 U 235,92 U 238,93 U 239,6 C12
11 Na 25 emites,Beta emission,Electron capture,Neutron,Beta+ emission
The velocity of neutrons in nuclear reactor is slowed down by,Heavy water,Ordinary water,Boron rod,Heavy hydrogen
"During a nuclear disintegration,the atmoic number of daugher nuclear is same but mass number reduces by 4.then",1 alpha and 2 beta particle,1 alpha and 1 beta particle,2 alpha particle and 2 beta particle,2 alpha particle and 4 beta particle
Which of the following isotope is used in atomic bomb ?,U35,U 238,Po 34,Th 92
A radioactive substance decays with  half life of 20 min what fraction of substance decays after 1 hour.,0.875,0.125,0.75,0.25
"If 99.9% of Radium disintegrates in 50 days ,then half life of radium is",5 days,10 days,15 days,20 days
The element used in treating cancer is,Cobalt 60,Gold 151,Silver,Bismuth
Which ray have frequency of order 10 to the power 15 Hz ?,U.V ray,X-ray,gamma ray,Radiowave
How much percent of the original radioactive content remains after 4 half life?,6 %,75 %,87.5 %,3 %
Graphite is used as moderator in nuclear reaction to,Slow down the moving neutron,Absorb the moving neutron,Increases the velocity of neutron,Control neutron number
Neutrino has,"Charge=0,mass=0","Chrge +1,mass=1","Charge=1,mass=0",Chrge=0 and mass =1
The equipment used to carry out nuclear reaction in a controlled manner is called,Nuclear reactor,Breeder reaction,Thermonuclear reactor,Cyclotron
Emission of electrons in form of beta rays from an active radioistotope is explained as the decomposition of a neutron into,A proton + an electron,A proton + a negative meson,A proton + an electron + a neutral  meson,Aproton + an electron + an anti-neutrino
Which of the following atomic number of uranium is most radioactive,235,238,248,226
"If the half life of a radioactive isotope is 10 hours,how much of its radioactivity will remain after 30 hours ?",1/8,1/4,1/3,1/2
Neutron dissociates into proton and electron but proton doesn't because of,Presence of charge on proton,Greater rest mass of neutron,Attraction between proton and proton,Repulsion between proton and proton
Neutron dissociates into proton and electron but proton doesn't because of,Presence of charge on proton,Greater rest mass of neutron,Attraction between proton and proton,Repulsion between proton and proton
The remaining nuclei of two samples A + B are 8 and 32 respectively.There radioactivity ratio is,1:4,4:1,2:3,1:8
The  decay constant of a material is 3*10 to thepower -6 per min its average life is,5600 hrs,5600 min,2  hrs,10000 hrs
