question,answer,wrong1,wrong2,wrong3
1. The temperature of sun is measured with,A. Platinum thermometer,B. Gas thermometer,C. Pyrometer,D. Vapor pressure thermometer
2. A device used to measure very high temperature is,A. Pyrometer,B. Thermometer,C. Bolometer,D. Calorimeter
3. Thermoelectric thermometer is based on,A. Photoelectric effect,B. Seeback effect,C. Compton effect,D. Joule effect
4. The Gas thermometer are very sensitive than liquid thermometer because,A. Gases expand more than liquid,B. Gases are easily obtained,C. Gases are much lighter,D. Gases don't easily change their state
"5. Of the following thermometers, the one which can be used for measuring a rapidly changing temperature is a",A. Thermocouple thermometer,B. Gas thermometer,C. Maximum resistance thermometer,D. Vapour pressure thermometer
6. Absolute temperature can be calculated by,A. Mean square velocity,B. Motion of the molecules,C. Both (a) and (b),D. None
7. Mercury thermometer can be used to measure temperature upto,A. 100° c,B. 212°c,C. 360°c,D. 500°c
8. Mercury bolis at 367°c . How ever mercury thermometer are made such that they can measure the temperature upto 500°c . This is done by,A. Maintaining vacuum above mercury column in the stem of the thermometer,B. Filling nitrogen gas at high pressure above the mercury column,C. Filling nitrogen gas at low pressure above the mercury level,D. Filling nitrogen gas at high pressure above mercury column
9. The absolute zero is the temperature at which,A. water freeze,B. All the substance exist in solid state,C. Molecular motion ceases,D. None of the above
10. Absolute zero ( 0 k ) is that temperature at which,A. Matter cease to exist,B. Ice melt and water freezes,C. Volume and pressure of the gas become zero,D. None of these
11. Two thermometer are used to record the temperature of the room. If bulb of one is wrapped in wet hanky,A. The temperature recorded by both thermometer will be same,B. The temperature recorded by wet bulb thermometer will be greater than that recorded by other,C. The temperature recorded by dry-bulb thermometer will be greater than that recorded by other,D. None of these
12. The temperature on Celsius scale is 25°c. Then what is the corresponding temperature on Fahrenheit scale ?,A. 40°F,B. 77°F,C. 50°F,D. 45°F
13. If the temperature of an object is 140°F . then  what is the temperature in centigrade is,A. 105°C,B.32°C,C. 140°c,D. 60°c
14. At what temperature the centigrade and Fahrenheit reading are same,A. -40°,B. +40°,C. 36.6°,D. -37°
15. The absolute zero temperature in Fahrenheit scale is,A. -273°F,B. -32°F,C. -460°F,D. -132°F
"16. The temperature of body on Kelvin scale is found to be x k. When it is measured by Fahrenheit thermometer , it is found to be x°F. Then the value of x is",A. 40,B. 313,C. 574.25,D. 301.25
