question,answer,wrong1,wrong2,wrong3
Transition metals are generally,Coloured and paramagnetic,Coloured and dimagnetic,Colourless and paramagnetic,Colourless and dimagnetic
Transition metals are coloured due to,Unpaired d-electrons,Small size,Metallic nature,All
Blister copper is,Cu containing 1%,Ore of Cu,Alloy of Cu,Pure Cu
Copper can be extracted from,Malachite,Kupfernical,Dolomite,Galena
Malachite is,\(CuCo_3.Cu(OH)_2\),\(Cu_2S\),\(CuFeS_2\),\(CuCO_3\)
Copper is manufactured from,Chalcopyrite,Galena,Cuprite,Sphalerite
Copper pyrites are concentrated by:,Froath floatation method,Electromagnetic method,Gravity method,All the above methods
An extremely hot copper wire reacts with steam to give,\(Cu_2O\),CuO,\(Cu_2O_2\),\(CuO_2\)
"When Cu reacts with \(AgNO_3\)solution,the reaction takes place is:",Oxidation of Cu,Reduction of Cu,Oxidation of Ag,Reduction of \(NO_3\)
Copper displaces which metal from their salt solutions,\(AgNO_3\),\(ZnSO_4\),\(FeSO_4\),All the above
Copper is extracted from low grade ore by,Hydrometallurgy,Electrometallurgy,Pyrometallurgy,All
Which of the following metals will not react with solution of \(CUSO_4\),Ag,Fe,Zn,Mg
Compound if blue colour is,\(CuSO_4.5H_2O\),\(CuSO_4\),\(PbSO_4\),\(HgSO_4\)
Compound of anhydrous copper sulphate is,White,Blue,Green,Yellow
Anhydrous \(CuSO_4\)in laboratory is used to detect,Traces of water in organic liquids,Traces of alcohol in water,Traces of alcohol in organic liquids,None
Which one of the following is an ore of silver?,Argentite,Stibnite,Haematite,Bauxite
Silver is extracted from it's:,Sulphide,Oxide,Nitrate,Chloride
Horn silver is:,AgCl,\(Ag_2S\),\((CuAg)S_2\),\(AgNO_3\)
Parke's process is used in extraction of:,Silver,Iron,Zinc,Sodium
"Which one of the following metals is obtained by leaching, it's ore with dilute cyanide solution?",Silver,Titanium,Vanadium,Zinc
Impurities of lead in silver is removed by:,Cupellation,Distillation,Floath floatation,Rean with KCN
Silver obtained from argentoferous lead is purified by,Cupellation,Distillation,Floath floatation,Rean with KCN
Silver gets tarnished in air due to reaction with,\(H_2S\),\(O_2\),\(CO_2\),\(H_2O\)
Silver compound least soluble in water is,\(Ag_2S\),AgCl,AgF,AgBr
AgCl is soluble in,\(NH_4OH\),Aq.KCN,\(AgNa_2CO_3\),All of these
Preparing of looking mirror involves the use of,Ammoniacal \(AgNO_3\)+Red lead + HCHO,Red lead,\(Ammoniacal AgNO_3\),Ammoniacal \(AgNO_3\)+ Red lead
Most soluble in water among these is:,AgCl,AgI,AgBr,\(Ag_2s\)
Which is called Lunar caustic?,\(AgNO_3\),AgS,AgBr,\(Ag_2S\)
An alloy German silver contains .....% of silver:,0%,1.5%,2.5%,10%
Which is used in silvering of mirrors?,\(AgNO_3\),NaOH,AgS,AgBr
Photographic films are coated with,AgBr,AgI,\(AgNO_3\),\(Ag_2S\)
Which is formed when gold dissolve in potassium cyanide in presence of oxygen?,\(K[Au(CN)_2]\),\(HAuCl4\),\(K[Au(CN)_4]\),\(K_2[Au(CN)_2]\)
Which of the following is used as an antidote for snake poisoning?,\(AuCl_3\),AuCl,\(H[AuCl_4]\),\(K[Au(CN)_2]\)
Which is not an ore of Zinc?,Gibsite,Zincite,Zinc blend,Calamite
Zinc is mainly extracted from:,Zinc blend,Calamine,Zincite,Cryolite
Spelter is:,Impure Zinc,ZnO,\(ZnCO_3\),Impure Cu
No. Of unpaired electrons in Zn2+ is:,0,2,3,4
Zn + Cold and very dilute.\(HNO_3\) gives,\(Zn(NO_3)_2+NH_4NO_3\),\(Zn(NO_3)_2 + N_2O\),\(Zn(NO_3)_2 + NO\),\(Zn(NO_3)_2+NO_2\)
Which is called philosopher's wool?,ZnO,\(HgCl_2\),\(MgNO_3\),Zn-amalgam
Which is called Rinmann's green?,Complex of ZnO with Coo,Ferrous ferrocyanide,Ferric ferricyanide,Ferric ferrocyanide
Zn +\(H_2SO_4\)conc.→,\(ZnSO_4\),ZnO,\(ZnCO_3\),None of these
White vitriol is:,\(ZnSO_4.7H_2O\),\(CuSO_4.5H_2O\),\(ZnSO_4.5H_2O\),\(FeSO_4.7H_2O\)
Lucas reagent is:,\(anh.ZnCl_2+HCl(conc)\),\(MnO_2+H_2O\),\(H_2SO_4+HCl\),\(NO+H_2O\)
"Metal,used for galvanizing Iron sheets is",Zn,Cr,W,Hg
Cinnabar is an ore of:,Hg,Cu,Pb,Zn
Mercurous ion is represented as:,\(Hg_2^{2+}\),\(Hg^+\),\(Mg^{2+}\),\(Hg^{2+}\)
Molecular formula of corrosive sublimate is,\(Hg_2Cl_2\),\(HgCl_2\),Hg+\(HgCl_2\),\(Hg_2Cl_2 and Hg\)
Calomel is:,\(Hg_2Cl_2\),\(HgCl_2\),HgCl,\(Hg_2Cl_2 and  Hg\)
Which is used as purgative in medicine?,\(Hg_2Cl_2\),\(Zncl_2\),\(HgCl_2\),\(ZnSO_4.7H_2O\)
"When excess of SnCl2 is added to a solution of HgCl2, a white precipitate turning to green is obtained. This grey colour is due to the formation of",Hg,\(Hg_2Cl_2\),\(SnCl_4\),Sn
Mercury sticks to the surface of glass when comes in contact with:,\(O_3\),\(H_2O\),\(HNO_3\),Grease
Zinc becomes dull in moist air due to the formation of,basic zinc carbonate,zinc carbonate,basic zinc hydroxide,basic copper carbonate
"Zn,on reacting with cold dil.\(HNO_3\)forms:",\(NH_4NO_3\),\(NO_2\),\(ZnNO_3\),NO
Which of the following is used in making ointment for curing skin diseases?,\(ZnCO_3\),ZnO,ZnS,\(ZnSO_4\)
"Zinc does not show variable valency, because",its d-subshell is complete,it is relatively soft metal,its d-subshell is incomplete,it has two electrons in outermost shell.
"Which of the following is formed, when HS is passed through the solution of sodium zincate?",ZnS,\(Zn(OH)_2\),\(Zn(NO_3)_2\),\(Na_2[Zn(OH)_4]\)
ZnO when heated with BaO at 1100°c gives,\(BaZnO_2\),\(Ba+ZnO_2\),\(BaCdO_2\),\(BaO_2+Zn\)
The roasted zinc oxide is converted into zinc by the process of:,Reduction,Oxidation,Galvanization,Concentration
Which is not an ore of iron?,cassiterite,haematite,Magnetite,limonite
Formula of haematite is:,\(Fe_2O_3\),\(FeCO_3\),\(Fe_3O_4\),\(FeS_3\)
Brown haematite is:,\(2Fe_2O_3.3H_2O\),\(Fe_2O_3\),\(FeS_2\),None
Iron is extracted from:,Haematite,cryolite,Bauxite,Chalcopyrite
Purest form of Iron is:,Wrought Iron,Steel.,Cast Iron,pig Iron
Iron rendered passive on treatment with,\(HNO_3\),HCI,\(H_2SO_4\),NaOH
Passivity of Iron is due to formation of:,\(Fe_3O_4\),\(Fe_2O_3\),\(FeSO_4\),None
Highest % of C is present in:,Cast iron,Wrought iron,pig iron,passive iron
% of C in steel is:,0.5-1.5%,1%,3%,0.3%
Iron reacts with carbon to form:,\(Fe_3C\),\(Fe_2C\),FeC,None
Steel contains:,Fe+Mn+Ni+Cr,Fe+C+Mn,Fe+C+Al,Fe+Ni+Mn
Carbon percentage is highest in:,Hard steel,Mild steel,Alloy steel,None
Steel becomes soft & pliable by:,Annealing,Case hardening,tempering,Nitriding
Nitriding is a process of surface hardening steel by treating it in an atmosphere of:,\(NH_3\),\(N_2\),\(NO_3\),\(H_2S\)
