question,answer,wrong1,wrong2,wrong3
The internal structure of crystal can be studied by,X-rays,γ- rays,IR-rays,UV-rays
An X-ray tube is operated at 20KV. The maximum speed of electrons striking the anticathode will be,8.4 × 107m/s,4.2 × 107m/s,8.4 × 103m/s,4.8 × 107m/s
Energy of X-rays photon of wavelength 0.0001 nm is,2 × 10-12J,6.6 × 10-21J,2 × 10-27J,6.6 × 10-34J
The shortest wavelength of X-ray in continuous spectrum from an X-ray tube depends on,Voltage applied across the tube.,Current in the tube,Nature of gas in the tube.,Atomic no. of target material
An X-ray has a wavelength of 0.01Å. It's momentum in kg. m/s is,6.626 × 10-22,2.126 × 10-23,3.313 × 10-22,3.450 × 10-25
Planck's constant is given as 6.6×10-34 Js. The minimum wavelength of X-rays emitted by X-rays tube operating at -30 KV in Å will be nearly,0.4,0.2,0.6,0.8
X-rays of wavelength 0.5A° are scattered by a target. What will be the energy of incident X-rays if these are scattered at an angle of 72,24.82 KeV,12.41 KeV,6.2 KeV,18.6 KeV
X-rays of wavelength 3Å have a frequency of,10^18 Hz,10 Hz,3 x 10^4 Hz,10^2 Hz
The minimum wavelength of X-rays can be obtained by may beamy.,Increasing potential between anode and cathode.,Increasing filament voltage.,Increasing intensity of X-rays.,Changing target material
Hydrogen atom cannot produce X-ray because,It's energy level are too close.,It's energy level are too far.,It's lighter.,It contain only one electrons.
An X-ray tube is operating at 15KV. The lower limit of wavelength of X-rays produced is,0.82 × 10^-10m,0.82 × 10^-7m,0.82 × 10^-8m,0.82 × 10^-13m
A light wave has a frequency of 100Hz. A light The wavelength of the wave is,3×10^6m,2×10^6 m,2×10^5m,3×105m
A metal surface has a work function of 4eV. The maximum wavelength of light eject the electrons from the which can surface is,310nm.,620nm,220nm,155nm
A radio station has a band 30m. The frequency of electromagnetic  waves form this station will be,10MHz,3×10^11Hz,10KHz,11×10^11Hz
. Hardness of X-ray can be increased by increasing:,Voltage between cathode and anode.,Intensity of light.,No. of photons of light,No. of electrons emitted.
"An X-ray tube operated at 50 KV produces heat at the target at the rate of 740 watt. If 0.5% energy of incident electron is convert into X-rays, then the number of electrons striking the target per second will be",1.1 x 10^17,1.1 x 10^19,1.1 x 10^18,1.1 x 10^-16
"If 'h' is plank's constant, 'c' is velocity of light 'e' is electronic charge and 'V' is the accelerating potential then maximum wavelength of emitted X-ray photon is given by",hc/eV,eV/hc,h/eV,h/Vc
X-rays of wavelength 3 A have a frequency of,10^18Hz,10Hz,3*10^4Hz,10^2Hz
Hydrogen atom does not emit X-ray because,It's energy levels are too close to each other,"It's energy, levels are too far to each",It is too small.,It has single electron
The wavelength of the most energetic X- rays emitted when a metal target is bombarded by 40KV supply is,0.31 Å,300 Å,10 Å,4A
X-ray are produced by energy changes in:,Electrons close to the nucleus,Electrons far from the nucleus,Electrons and protons,The nucleus
What should be the nature of anticathode in an X-ray tube?,"-high atomic weight, high thermal conductivity","high atomic weight, low thermal conductivity","low atomic weight, high thermal conductivity","high atomic no., low thermal conductivity"
The voltage applied to an X-ray is 500V. What is the minimum wavelength of X-ray produced,2.48×10-10m,2.48×10-8 m,1.24×10-8 m,1.24×10-10m
"When a beam of accelerated electrons hit a target, a continuous X-ray spectrum is emitted from the target. Which one of the following wavelengths is absent in the X-ray specturm if the X-ray tube is operated at 40,000 V?",0.25 Å,0.5A,1.0 Å,1.5Å
Hard and Soft X-ray depends on,Wavelength,Frequency,Velocity,Energy
X-ray can't penetrate bone because bones have,hard crystalline structure,high mol. wt.,low mol. wt,amorphous nature
The X-ray tube is operated at 50 kV. The minimum wavelength is about,0.25,0.5 A,10 Å,None
In obtaining an X-ray photograph of hand we use principle of,Shadow photography,. Image formation by an optical system,. Photoelectric effect,Ionisation
When cathode rays strike a metal target of high melting point with a very high velocity then which of the following is produced?,X-rays,a-rays,y-rays,UV rays
As the potential difference applied to X- ray tube is increased. As a result in the emitted radiation.,the maximum wavelength decreases,the intensity increases,the minimum wavelength increases,the maximum wavelength decreases
A LASER produces,A beam of monochromatic coherent light,highly penetrating X-rays,A beam of fast moving neutron,A beam of monochromatic incoherent light
Penetrating power of X-ray can be increased by,increasing P.d between anode and cathode,increasing current in the filament,decreasing the current in the filament,decreasing P.d between cathode and anode.
The maximum distance between inter- atomic lattice planes is 15Å. The maximum wavelength of X-rays which diffracted by the crystal will be,30A,15 A,20 A,45A
An X-ray tube is operated at 20 kV. The maximum speed of electrons striking the anticathode will be,8.4 × 107 m/s,4.2 × 107 m/s,8.4 × 103 m/s,4.8 × 107 m/s
For which of the following voltage will the wavelength of emitted X-rays be minimum?,40kV,10kV,20kV,30kV
The potential difference between cathode and anticathode in a the Coolidge tube is 120 kV. The maximum frequency of X-rays emitted by it will be,2.9×1019 Hz,1.9×109 Hz,2.9×1018 Hz,.3.9×1019 Hz
X-rays of wavelength λ are incident normally on a crystal and the second order reflection on diffraction from the crystal is observed at an angle of 45°.. What is the spacing between inter- atomic planes?,√2λ,λ/√2,λ,2λ
".In an X-ray tube, if the electrons are accelerated through 140kV, then anode current obtained is 30mA. If the whole energy of electrons is converted into heat, then the rate of production of heat (in calories/sec) at anode will be",1000,420,1200,640
"When X-rays of wavelength 1Å passes through a gold foil of thickness 2.303 mm, then their intensity reduces to half. The coefficient of absorption for gold (in mm-1) will be",0.3,0.2,0.4,0.5
"The X-rays of wavelength 0.5 A are scattered by a target. What will be the energy of incident X-rays, if these are scattered at an angle of 72 ?",24.82 keV.,12.41 keV,6.2 keV,18.6 keV
An X-ray tube is operated at accelerating potential of 40kV and the current in the tube is 20mA. Only 2% of the total energy given is converted into X-rays. The maximum energy of emitted radiations will be,6.4 × 10-15 J,1.6 x 10-15 J,4.8 x 10-15 J,3.2 × 10-15 J
"50% of X-rays obtained from a Coolidge tube pass through 0.3 mm thick aluminum foil. If the p.d between the target and the cathode is increased, then the fraction of X-rays passing through the same foil will be",>50%,50%,<50%,none of these
"An X-ray tube operated at 50kV, produces heat at target at the rate of 796 watt. If 0.5% energy of incident electrons is converted into X-rays, then the number of electrons striking the target per second will be",10^17,10^19,10^18,10^16
"If the frequency of Ka X-ray emitted from the element with atomic number 31 is v, then the frequency of Ka X-ray emitted from the element with atomic number 51 would be",25/9 v,5/3 v,51/31 v,9/25 v
"λ1, λ2, λ3 for lead isotopes Pb206, Pb207, Pb208 denote wavelengths of characteristic X- ray. Then",both a and b,λ1=λ2=λ3,λ2=√λ1.λ3,λ1>λ2>λ3
"Wavelength of characteristic X-ray for Ka line emitted from an atom is 0.32 Å, then the wavelength of Kg line emitted by same atom is:",0.27Å,0.24 Å,0.32 Å,0.48 Å
"λa λb and λc' denote wavelengths of Ka Kb, and Kc line then",both a and b,λa>λb >λc,1/λb =1/λa +1/ λc,λa>λc >λc
X-rays are:,Electromagnetic radiation of high frequency,Positively charged particles,Negatively charged particles,Neutral particles of low speed.
Find out the wavelength from the following figure where energy=1eV,1.24×10^-6m,3.33×10^-8m,1.24×10^-8m,1.33×10^-8m
the,a,b,c,d
