question,answer,wrong1,wrong2,wrong3
Power of ionization of a gamma particle,Less than both alpha & beta particle.,More than that of an alpha particle,More than of a beta particle.,Less than those of alpha beta particle and more than these of beta particle.
"If electron, proton, neutron & α- particle are defected in the same electric field with same velocity what will be the deflection in them",Proton less than electron,Proton more than electron.,Electron more than a- particle,Proton more then a- particle
An electron is moving with a velocity v and enters a uniform electric field perpendicularly. Its trajectory within the field will be,Parabolic,Circular,Hyperbolic,Elliptic
Quantum theory gives the concept of,Photon,Electron,Proton,Neutron
Which one of the following statements is true for cathode rays?,It emits X-rays on striking a metalIt is an electromagnetic wave,It is stream of positively charged particles,It is an electromagnetic wave,It is not defected by magnetic field
An electron of charge 'e' in rest in an electric field between 2 plates separated by distance 'd' and with potential difference 'v' then find the force experienced by,(ev/d),(ev/d)1/2,d/qv,v/q
Penetrating power in decreasing order is,γ>β>α,γ>α >β,α >β>γ,β>α >γ
Ionizing power of y-ray as compared to α- particle is,minimum,maximum,more than 100 times,"more than 10,000 times"
Cathode rays are,Stream of fast moving electrons,Stream of positive ions,Positron,Neutral
"When an electron moves through a uniform magnetic field, its speed",remains constant,increases,decreases,depends on field
The kinetic energy of a proton e accelerated by 1 V is,1 eV,1/1840 eV,1840 eV,(1840)^1/2 eV
Work done in carrying an electron across a potential difference of 10V is,10eV,0.1e V,leV,100eV
"In Millikan's oil drop experiment, an oil ́ drop is held stationary by a potential difference of 400V. If another drop of double the radius, but carry the same charge is to be held stationary, the potential different required is",3200V,800V,1600V,400V
The ratio of the charge-to-mass ratio of a proton to an a-particle equals,2,1/2,4,1/4
Cathode rays are produced when the pressure in the discharge tube is of the order of,10-2-10-3mm of Hg.,76 cm of Hg.,10-6 cm of Hg.,1 cm of Hg.
The colour of the positive column in a gas discharge tube depends on,the gas in the tube,type of glass used to construct the tube,the applied voltage,the material of the cathode.
Cyclotron is used to accelerate,positive ions,electrons,neutrons,negative ions
A strong arguments for particle nature of cathode rays is,gets deflected by magnetic field,produce fluorescence,travel through vacuum,to cast shadow
The resistance of discharge tube is,non-ohomic,zero,ohomic,depends upon pressure
An electron is accelerated through a potential difference of 200 volt. If e/m for electron be 1.6×10^11 coulomb/kg the velocity acquired by the electron will be,8×106 m/s,8×105 m/s,5.9 x 106 m/s,5-9 × 105 m/s
"Doubly ionized  helium atom and hydrogen ions are accelerated from rest, through the same potential difference. The ratio of final velocities of helium and hydrogen is",1:√2,√2:1,1:2,2:1
An oil drop of mass 50 mg and of charge -5μC is just balanced in air against the force of gravity. Calculate the strength of the electric field required to balance it. g= 9.8m/s2,98 N/C downwards,98 N/C upwards,9.8 N/C towards south,9.8 N/C towards north
A charged dust particle of radius 5 x 10 m is located in a horizontal electric field having an intensity of 6.28 x 10-5 Vm The surrounding medium in air with Nsm-2. If this particle moves with a uniform horizontal speed of 0.01 ms the number of electrons on it will be,15,20,25,30
An oil drop carrying a charge q has a mass m kg. It is falling freely in air with terminal velocity v. The electric field required to make make the drop move upwards with the same speed is,2mg/q,mg/q,mgv/q2,2mgv/q
In Millikan oil drop experiment a charged drop of mass 1.8 x 10-14 kg is stationary between its plates. The distance between the plates is 0.90cm and potential difference is 2kV. The number of electrons on the drop is,5,500,50,10
Electric conduction takes place in a discharge tube due to the movement of,All of the above,Positive ions,electrons,Negative ions
A proton and helium is moved into a magnetic field having same K.E. then what is the ratio of radius?,1:1,1:2,√2:1,1:√2
"An electron of mass""m"" and charge of a proton accelerated from rest through a potential difference of 'V' volts in vacuum. The speed of electron will be",(2eV/m)^1/2,(eV/m)^1/2,(mV/e)^1/2,(m/eV)^1/2
