question,answer,wrong1,wrong2,wrong3
When a particles and its antiparticle are annihilated the energy released is E what is the mass of each particle?,E/2c^2,E/c^2,E/2c,E/c
Which of the following is correct representation of a nuclear reaction (notation carry usual meanings),\(zA^A+2a^4-> z+1Y^{ A+3 } +p+Q\),\(zA^A+α-> z+1Y^{ A+2 } +p+Q\),\(zA^A+α-> z+1Y^{ A+2 } +n+Q\),\(zA^A+α-> z+1Y^{ A+3 } +n+Q\)
Correct decay scheme for an emission of B-emission from a radioactive nuclear \(zA^A\) may be,\(zA^A -> z+1 Y^{ A } +β\),\(zA^A -> z+1 Y^{ A+1 } +β\),\(zA^A -> z Y^{ A-1 } +β\),\(zA^A -> z-1 Y^{ A } +β\)
A nucleus zXA decays to z+1YA plus an additional nuclear particle. The resulting particle may be,Beta,Positron.,Alpha,Gamma
The fusion of hydrogen into helium is more likely to take place:,at high temp & high pressure,at high temp & low pressure,at low temp & low pressure.,at low temp & high pressure.
Energy is radiated in which of the following,Nuclear fusion,Nuclear fission,Thermo-chemical reaction,Chemical reaction
Positron has.,has some mass & some charge.,no charge and spin.,"no mass, and spin.",has some mass but no charge.
The quark combination of proton is,uud,udd,uuu,ddd
Which is emitted in ẞ-emission?,Only e,Only helium nucleus,Both e- & He nucleus.,None
The average distance between nucleus  & electron is,\(10^{- 8 } cm\),\(10^{- 15} cm\),\(10^{- 10 } cm\),\(10^{- 14 } cm\)
Which of the following has similar mass to electron?,positron,proton,neutron,neutrino
The binding energy of hydrogen atom is,13.6eV,1.0eV,-13.6eV,0
"The nuclear radius of nucleus with nucleon number 16, is 3×10^-15m.With nucleon number 128,radius is",\(6*10^{ -15} m\),\(3*10^{ -15} m\),\(1.5*10^{ -15} m\),\(4.5*10^{ -15} m\)
"Infusion, % of mass converted into energy is about",1%,0.01%,0.1%,10%
"n=p+e+X, where n = neutron, P proton, e is electron where X is?",antineutrino,neutrino,proton,meson
Find out the no. of neutrons released in the fission of 92U235 into 54Xe142 and 38Sr90,3,0,1,2
The neutron possess,no charge but has mass equal to that of proton.,no charge no spin.,electronic charge and spin.,spin but no charge.
The energy released in the fission of one nucleus is 200MeV. The number of fissions per second required to produce  3.2W of power is,\(10^{ 11} \),\(10^7\),\(10^{ 15 } \),\(10^{ 17 } \)
"Following revolves around the nucleus.""",electron,proton,neutron,none
Nucleon is,Proton and neutron,electron and proton,proton and nucleus,none
"In nuclear reactor, cadmium rod is used as",Control rod,moderator,Nuclear fuel,Coolant
"The packing fraction for 7N14 isotope, whose mass is 14.003 amu is ?",\(2.1 × 10^{ -4 } \),\(3 × 10^{ -3 } \),\(1.00002\),0.9
The binding energies per nucleon for a deuteron and an a-particle are x1 and x2 respectively. What will be energy Q .released in the reaction:,4(x2-x1),4(x1+x2),2(x2-x1),2(x1+x2)
The mass defect for the nucleus of  helium is 0.0303 amu. What is the binding energy per nucleon for helium in MeV:,7,1,4,27
