question,answer,wrong1,wrong2,wrong3
"Two mirrors are at 60°, the number of the image formed is",5,6,7,8
The object is placed at a distance twice the focal length of concave mirror. Then image formed is,"real,inverted and of the same size as object",virtual and inverted,real and erect,"real,inverted and diminished"
A plane mirror is rotated by an angle θ the change in deviation of a ray produced by the mirror is,2θ,θ,3θ,4θ
Power of a plane mirror os Dioptre is,0,+1,-1,infinity
A ray a light falls on the surface of a spherical glass paper weight making an angle 'α' with the normal and is refracted in the medium at an angle β. The angle of deviation of the emergent ray from the direction of the incident ray is,2 (α-β),(α-β),½ (α-β),(β-α)
The concave mirror,forms real image if object is virtual,Always forms real image,always forms virtual image,forms real image if object is real
The rear view mirror in a car is,Convex mirror,Plane mirror,Concave mirror,Plano convex mirror
An object is placed at 20cm from a convex mirror of focal length 10cm . The image formed by the mirror is,Virtual and at 20/3 cm from the mirror,real and 20 cm from the mirror,virtual and at 20 cm from the mirror,real and 20/3 from the mirror
An ant moves towards thr plane mirror with speed of 2ms^-1 & the mirror is moved towards the ant with the same speed. What is the relative velocity between the ant and its image ?,8ms^-1,2ms^-1,4ms^-1,16ms^-1
When a mirror is rotated through an angle 30° keeping incident ray constant the reflected ray is rotated through an angle,60°,25°,45°,90°
"The mirrors A and B are inclined at angle θ.  A ray of light incident in mirror B is deviated to 62° and the angle of emergence is 20° , then find the angle of inclination",50°,20°,30°,40°
"If the object is placed symmetrically between two plane mirrors inclined at an angle of 72°, The numer of images wil be",4,2,5,infinity
A concave mirror has radius of curvature 20cm .An object is placed 10cm from the pole of the mirror. The image will be at,infinity,10 cm from the pole on same side,20cm from the pole on same,will not be formed
Two mirrors inclined at an angle θ form 9 images of an object placed symmetrically between them .Then the angle θ is :,36°,45°,60°,75°
"A ray of light is incident on a plane mirror at an angle of incidence 30°,The ray after reflection is deviated through",120°,130°,60°,75°
A person approches a plance mirror with velocity v then relative velocity of approch of person and his image is,2v,zero,v,v/2
An object is moving towards a plane mirror with a velocity v making a certain angle θ with normal of a plane mirror . The velocity of image w.r.t object  is,2vcosθ,vcosθ,vsinθ,2vsinθ
"An cubical room is formed with 6 plane mirrors. An object started to move along the diagonal of floor .The velocity of image in adjacent walls is 20 (2)^1/2 cm/s ,then the velocity of image along the diagonal of the roof is:",40 cm/s,20cm/s,20 (2)^1/2 cm/s,40(2)^1/2 cm/s
Two plane mirrors are inclined at a certain angle undergoes a deviation of 300°.The number of images observe is,11,8,9,12
"A person is approaching a plane mirror with speed 10cm/s . If the initial distance between person and his image is 2m, then the distance between person and his image after 2.5 sec will be",1.5 m,0.75 m,0.25m,0.5m
It is desired to photograph the image of an object placed at a distance 3m from a plane mirror. The camera which is at a distance of4.5 m from the mirror should be focused at a distance of,7.5m,3m,4.5m,6m
A ray is reflected in turn by three plane mirrors mutually at right angles to each other.The angle between the incident and reflected rays is:,¶,0,¶/2,3¶/2
"The inclinned plane mirrors are inclined at an angle 60° with each other , A ray of light travelling horizontally is reflected first from one mirror and then from the other mirror.Then the resultant deviation is",240°,60°,120°,180°
A ray of light incident to the first mirror and parallel to the second mirror is reflected from the second mirror parallel to the first mirror . The angle between two mirrors is,60°,30°,75°,90°
A point object is placed on principal axis of a concave mirror of focal length 20cm at distance 30cm from pole .The image is formed at distance,60 cm infront of mirror,60cm behind mirror,12cm behind him,12 cm infront of him
How far should an object be held from a concave mirror of focal length 40cm so as to obtain a real image twice the size of the object?,60cm,10cm,20cm,30cm
"A bright spot situat

ed at 60cm infront of a convex mirror forms a virtual image 20cm behind the mirror . The focal length of the mirror is",30cm,50cm,60cm,75cm
A shaving mirror of focal length f produces an image x times the size of the object.If the image is real then the distance of the object from the mirror is,(x+1)f/x,(x+1)f,(x-1)f/x,(x-1)f
What is the mignification when the object is placed at 2f from the pole of a convex mirror?,-1/3,-2/3,-1,-3/2
"The spherical mirror produces an image of magnification 3. Then the distance of the object from the may be , if the focal length of spherical mirror is 24cm","32cm,16cm",32cm only,16cm only,"32cm,24cm"
A convex mirror of focal length 20cm produces an image 1/3 times the size of the object .Then the distance in between the object and its image is,160/3 cm,40cm,40/3 cm,none
A spherical mirror produces an image 3 times of the size of object . If the image is erect and the distance in between the object and its image is 100cm then the focal length of the spherical mirror is,37.5cm,15cm,25cm,27.5cm
