question,answer,wrong1,wrong2,wrong3
"The size of particles in suspension, true solution and colloidal solution varies in the order",Suspension > Colloidal > True Solution,True Solution > Suspension > Colloidal,Suspension > Colloidal = True Solution,None of the above
A colloidal system has particles of what size?,\(10^{-6}\)m to \(10^{-9}\)m,\(10^{-4}\)m to \(10^{-10}\)m,\(10^{-5}\)m to \(10^{-7}\)m,\(10^{-9}\)m to \(10^{-12}\)m
Cloud or fog is an example of colloidal system of,Liquid dispersed in gas,Gas dispersed in gas,Solid dispersed in gas,Solid dispersed in liquid
Milk is,Fat dispersed in water,Fat dispersed in milk,Water dispersed in fat,Water dispersed in oil
Smoke is an example of,Solid dispersed in gas,Gas dispersed in liquid,Gas dispersed in solid,Solid dispersed in solid
Butter is a colloid formed when,Water is dispersed in fat,Fat is dispersed in water,Fat globules are dispersed in water,None of the above
Butter is,A gel,An emulsion,A sol,None of these
The extra stability of lyophilic colloids is due to,A layer of medium of dispersion on their particles,Charge on their particles,The smaller size of their particles,The larger size of their particles
Flocculation value is expressed in terms of,millimole \(L^{-1}\),mole \(L^{-1}\),gram \(L^{-1}\),mole \(mL^{-1}\)
Light scattering takes place in,colloidal solutions,solutions of electrolyte,electrodialysis,electroplating
Minimum quantity of electrolyte which can precipitate any colloid is,Flocculation value,Gold number,Avogadro number,Peptisation value
The coagulation power of an electrolyte for \(As_2O_3\) decreases in the order,"\(Al^{3+},Ba^{2+} , Na^+\)","\(Na^+, Al^{3+}, Ba^{2+}\)","\(Cl^-, SO_4^{2-}, PO_4^{3-}\)","\(PO_4^{3-} , SO_4^{2-}, Cl^-\)"
The charge on \(As_2S_3\) sol is due to the adsorbed,\(S^{2-}\),\(H^+\),\(OH^-\),\(O^{2-}\)
The migration of colloidal particles under the influence of an electric field is known as,cataphoresis,electro-osmosis,brownian movement,dialysis
The sky looks blue due to,Scattering,Dispersion effect,Reflection,Transmission
Which one of the sols acts as protective colloid?,Gelatin,\(As_2S_3\),Au,\(Fe(OH)_3\)
Gold number represents,colloid protective power,quantity of gold in alloys,percentage of gold in gold biscuits,percentage quantity of gold in colloidal gold
What is gold number?,It is the weight in mg. of the dry material of which the hydrophilic sol is prepared and which when added to a 10 c.c. of red gold will prevent it from coagulation on the addition of 1 c.c. of 10% NaCl solution,It is the weight in mg of the dry material of which the hydrophilic sol is prepared and which when added to 1 c.c. of red gold sol will prevent it from coagulation on the addition of 10 c.c. of 10% NaCl solution,It is the weight in mg of the dry material of which the hydrophilic sol is prepared and which when added to 1 c.c. of red gold sol will prevent it from coagulation on the addition of 1 c.c. of 1% NaCl solution,None of the above
Gold number is minimum in case of,Gelatin,Egg albumin,Gum arabic,Starch
"According to Langmuir adsorption isotherm, the amount of gas adsorbed at very high pressures",reaches a constant limiting value,goes on increasing with pressure,goes on decreasing with pressure,increases first and decreases later with pressure
Which colloid is used in treating eye disease?,Colloidal silver,Colloidal S,Colloidal antimony,Colloidal gold
\(As_2S_3\) sol is,negative colloid,positive colloid,neutral colloid,none of the above
Small liquid droplets dispersed in another liquid is,emulsion,suspension,gel,true solution
Alum helps in purifying water due to,aluminium which coagulates the mud particles,forming Si complex with clay particles,sulphate part which combines with the dirt and removes it,making mud water soluble
"In physical adsorption, the force associated are",van der Waal's,ionic,covalent,H-bonding
Adsorption due to strong chemical forces is called,chemisorption,physisorption,reversible adsorption,both b & c
A catalyst increases the rate of reaction because it,decreases the energy barrier for reaction,increases the activation energy,decreases the collision diameter,increases the temperature coefficient
Which is not a characteristic of a catalyst?,It changes the equilibrium constant,It alters the reaction path,It increases the rate of reaction,It does not affect the average K.E. of the molecules
In the reversible reaction a catalyst is the substance which,reduces the time required for reaching the equilibrium state in the reaction,increases the rate of the forward reaction,decreases the value of enthalpy change in the reaction,decreases the rate of the reverse reaction
In the hydrogenation of oils the catalyst used is,Nickel,Iron,Platinum,Molybdenum
In which of the following commercial processes a catalyst is not used ?,Solvay process,Haber's process,Deacon's process,Lead chamber process
In the case of auto-catalysis,product catalyses,reactant catalyses,solvent catalyses,heat produced in the reaction catalyses
The enzyme which can catalyse the conversion of glucose to ethanol is,Zymase,Invertase,Maltase,Diastase
Rusting of iron is catalyzed by which of the following?,\(H^+\),Fe,\(O_2\),Zn
"In the Ostwald's process for the manufacture of \(HNO_3\), the catalyst used is",Pt,Mo,Fe,Ni
A catalyst,decreases the activation energy,increases the average kinetic energy of molecules,increases the activation energy,increases the frequency of collisions of reacting species
Which of the following will be most effective in the coagulation of \(Fe(OH)_3\) sol ?,\(Mg_3(PO_4)_2\),\(BaCl_2\),KCN,NaCl
Tyndall effect in colloidal solutions is due to,scattering of light by the particles,reflection of light by the particles,movement of particles,coagulation of particles
Blood cells do not shrink in blood because blood is,isotonic,hypotonic,equimolar,hypertonic
An example of dispersion of a liquid in a gas is,mist,vegetable oil,milk,foam
Which of the following is not represented by sols,Paramagnetism,Adsorption,Tyndall effect,Flocculation
Tyndall effect is exhibited by,Starch solution,NaCl solution,Urea solution,\(FeCl_3\) solution
Surface tension of lyophilic solution is,Lower than water,More than water,Equal to water,None
Adsorption is multilayer is case of,Physical adsorption,Chemisorption,Both,None
Which of the following term is negative in adsoption?,Both a and b,∆H,∆S,∆S is-ve and ∆H is +ve
Which of the following is adsorbate?,Ammonia,Silica gel,Charcoal powder,Wood
The decomposition of \(H_2O_2\) can be slowed by the addition of a small amount of acetamide. The later acts as,Inhibitor,Detainer,Stopper,Promoter
