question,answer,wrong1,wrong2,wrong3
Total number of ATP formed in aerobic respiration in higher plant is,38,30,36,24
Total ATP production in Krebs cycle in ETS is,22,24,2,30
The end product of fermentation,Alcohol+CO2,Acetaldehyde+ CO2,Ethanol+CO2,Acetaldehyde+O2
Cytochrome helps in,Electron transport,Glucose converting into CO2,Glycolysis,Kreb cycle
"In prokaryotes, the net ATP production in aerobic respiration is",38,36,32,34
Pyruvic acid is changed into CO2 and H2O in,Kreb cycle,Glycolysis,Calvin cycle,Fermentation
Glycolysis occurs in,Cytoplasm,ER,Lysosome,Mitochondria
The end product of glycolysis in plant is,Lactic acid,Ethanol,Pyruvic acid,Acetyl coA
Fermentation of pyruvic acid into carbon dioxide and water occurs in,Kreb cycle,Glyoxylate cycle,Fermentation,Golgi cycle
Glycolysis is a process in which glucose is degraded into,Three carbon sugar in the absence of oxygen,Two carbon sugar in the absence of oxygen,Three carbon sugar in the presence of oxygen,Four carbon sugar in the presence of oxygen
"During the alcoholic fermentation, acetaldehyde is converted into ethyl alcohol by the utilization of",1NADPH2,2 ATP,1 ATP,3ATP
The amount of energy usually released in the aerobic respiration is,674kcal,204 kcal,284kcal,464kcal
During anaerobic respiration yeast converts glucose into,Ethanol and CO2,Lactic acid and CO2,Pyruvic acid and CO2,Ethanol and water
Glycolysis takes place in,Cytoplasm,Mitochondria,Cell membrane,Cell wall
Respiration and photosynthesis both require,Cytochrome,Sunlight,Oxygen,Carbon dioxide
Which of the following occurs in mitochondria,All of the above,Kreb cycle and ATP synthesis,Fatty acid oxidation,Amino acid synthesis
Which of the following is/are the function/s of mitochondria,All of the above,Kreb cycle,Fatty acid oxidation,Amino acid synthesis
"For anaerobic respiration, respiratory quotient is",Infinity,Less than one,Equal to one,Greater than one
Fermentation is an.............. process,Exothermic,Endothermic,Both,None
Assimilitary power is,NADPH and ATP,NADP,ATP,FMN
In fatty acid with even number of carbon atom oxidized........ is formed,Acetic acid,Pyruvic acid,Lactic acid,Amino acid
Net production of ATP from complete oxidation of 1 molecule of glucose is... ATP,38,30,24,18
Krebs cycle occurs in,Mitochondria,Nucleus,Chloroplast,Cytoplasm
Product of respiration in plant are,CO2+H2O+ Energy,Starch and O2,Sugar and O2,H2O+energy
Respiration is performed by all the living cells of the plant,At all times,During day,During night,In the morning
Glycolysis takes place in,Cytoplasm,Chloroplast,Ribosome,Mitochondria
Kreb cycle is involved in,Respiration,Osmosis,Photosynthesis,Transpiration
Respiration occurs in,Mitochondria,Golgi bodies,Ribosomes,Chloroplast
The process of complete oxidation of pyruvic acid to CO2 and H2O is called,Kreb cycle,Fermentation,Hill reaction,Calvin cycle
The net gain of ATP molecule during glycolysis is,2,4,6,10
The link between glycolysis and krebs cycle is,Acetyl coA,Citric acid,Succinic acid,Fumeric acid
The number of ATP molecule from the complete oxidation of molecule of pyruvic acid is,15,12,24,30
Enzymes that takes place in glycolysis are present in,Cytoplasm,Mitochondria,Glyoxysome,Vacuoles
Which of the following plants carry out cross pollination,Maize,Apple,Orchid,Sage Flower
The process in which CO2 is released is,Respiration,Photosynthesis,Transpiration,Guttation
ATP is not released in,Krebs Cycle,Glycolysis,ETS,EMP pathway
ATP is not produced during,Kreb cycle,EMP pathway,Electron transport system,Glycolysis
Energy is liberated by oxidative metabolism in,Kreb cycle,Glycolysis,Pentose shunt,Glycogenolysis
Ratio of ATP produced when one molecule of glucose is oxidized in the presence of Oxygen and one molecule of glucose is oxidize in the absence of oxygen,18:1,4:1,2:1,1:1
"The common respiratory metabolites for break down of fat, protein and carbohydrates",Acetyl coA,Pyruvic acid,Oxalic acid,Alpha keto glutaric acid
Krebs cycle starts with,Oxaloacetic acid and acetyl coA,Malonic acid and acetyl coA,Pyruvic acid and malonic acid,Succinic acid and pyruvic acid
During strenous exercise in human body glucose is converted to,Lactic acid,Pyruvic acid,Maltose,Fructose
Kreb cycle begins with,Pyruvic acid,Glycogen,Glucose,Lysine
In fermentation ATP obtained is less than that in aerobic respiration because,Food is partially oxidized,Food is converted into lactic acid,CO2 and ethanol is obtained,Food is completely oxidized
R.Q for fat,<1,>1,0,1
Which of the following is typical example of feedback inhibition,Allosteric inhibition of hexokinase by glucose 6- phosphate,Cyanide and cytochrome reaction,Sulpha drugs and folic acid synthesizer bacteria,Reaction between succinic dehydrogenase and succinic acid
Cyanide kill an organism by inhibiting,Cytochrome oxidase,Hexokinase,Succinate dehydrogenase,Histidine decarboxylase
When fats are the respiratory substrate the respiratory quotient will be,Less than unity,Unity,More than unity,Zero
The end product of kreb cycle is,CO2 and H2O,Pyruvic acid,Citric acid,Lactic acid
Which of the following is not correct,Process of glycolysis is linear,Process of glycolysis takes place in 8 steps,In glycolysis 2 ATP is produced,Process of glycolysis takes place in ten steps
Common pathway for aerobic and anaerobic respiration is,Glycolysis,Kreb cycle,Acetyl coA,ETS
Which of the following induces photorespiration,High CO2 concentration,High temperature,High CO2 concentration,High light intensity
The number of ATP and NADPH2 required to fixed 3 CO2 molecule in Calvin cycle,9 ATP and 6 NADPH2,6 ATP and 6 NADPH2,12 ATP and 6 NADPH2,6 ATP and 12 NADPH2
Enzyme for glycolysis is found in,Cytoplasm,Mitochondria,Vacuoles,Lysosome
Enclave cycle alpha ketogluteric acid undergoes decarboxylation in the presence of alpha ketogluterase enzyme to form,Succinyl coenzyme A,Succinic acid,Fumeric acid,Oxaloacetic acid
Which is produced during anaerobic respiration in muscle,Lactic acid only,"Alcohol, CO2 and H2O",CO2 only,CO2 and lactic acid
The process in which pyruvic acid is converted into acetyl coA,Oxidative decarboxylation,Glycolysis,Photophosphorylation,Dephosphorylation
The number of ATP produced when a molecule of glucose undergoes fermentation is,2,4,36,38
The end product of glycolysis,Pyruvic acid,Acetyl coA,Oxaloacetic acid,Lactic acid
