question,answer,wrong1,wrong2,wrong3
"The general molecular formula, which represents the homologous series of alkanols is",C2H2n+2O,CnH2nO2,C2H2nO,CnH2n+1O
"Identify Z in the following series

C2H5OH PBr3   -   X  alc.KOH     -     Y   i)H2SO4 ii) H2O + heat        -    Z",CH3CH2OH,CH2=CH2,CH3CH2-O-CH2-CH3,None
Reduction aldehyde gives,Alcohol,Acid,Ester,Alkyne
Which of the following reagent will convert propanic acid to propan-1-ol ?,LiAlH4,KMnO4,MnO2,Cr2O3
Lucas Reagent is,conc. HCl and anhydrous ZnCl2,conc. HNO3 and hydrous ZnCl2,conc. HCl and hydrous ZnCl2,conc. HNO3 and anhydrous ZnCl2
The compound which react fastest with Lucas reagent at room temperature is,2-methylpropan-2-ol,butan-1-ol,butan-2-ol,2-methylpropan-1-ol
HBr reacts fastest with,2-Methylpropan-2-ol,2-Methylpropan-1-ol,propan-2-ol,propan-1-ol
Which of the following alcohol is most reactive towards lucas reagent?,Tertiary,Primary,Secondary,Same for all
Methanol is industrially prepared by,reduction of CO using H2 and ZnO-Cr2O3,oxidation of CH4 by steam at 900°C,reduction of HCHO using LiAlH4,reaction HCHO with a solution of NaOH
Which of the following alochol is formed from water gas,methanol,propanol,ethanol,isopropyl alcohol
"Following compounds are given

i) CH3CH2OH                       ii) CH3COCH3

iii) CH3-CH(CH3)-OH            iv) CH3OH

Which of the above compound(s), on being warmed with iodine solution and NaOH, will give iodoform ?",(i). (ii) and (iii),"(i), (iii) and (iv)",only (ii),(i) and (ii)
Which enzyme is used during the production of alcohol from carbohydrate by fermentation?,Zymase,Invertase,Starch,Molasses
Alcoholic Fermentation is brought about by the action of,Yeast,CO2,O2,Invertase
Fermentation is an,Exothermic reaction,Endothermic reaction,Reversible reaction,None of the above
Fermentation of starch solution to ethyl alcohol does not require,invertase,diastase,maltase,zymase
Methylamine when treated with HNO2 results into,Methanol,Methyl cyanide,Acetic acid,Methyl isocyanate
Reaction between NaOH and fast is called,Saponification,Esterification,Rancification,Hydrogentaion
