question,answer,wrong1,wrong2,wrong3
"What is/are the correct statement(s) about hormones?

(1) Hormones are non-nutrient chemicals.
(2) Hormones act as intercellular messengers.
(3) Hormones are produced in trace amounts.
(4) Hormones may be proteins, steroids, glycoproteins and biogenic amines.",All of these,"1,2&3",Only 4,1 and 3
"What does the anterior lobe of the pituitary gland secrete?
(1) FSH, GH and LH
(2) GH, TSH and prolactin
(3) TSH, ADH & prolactin
(4) ACTH, TSH and oxytocin",(1) and (2),(2) and (4),(1) and (3),"(1), (2) and (3)"
The anterior pituitary does not secrete which of the following hormones?,Oxytocin,Growth hormone,Follicle stimulating hormone,Adrenocorticotrophic hormone
"Mary is about to face an interview. She experiences sweating, increased heart rate, and breathing during the first five minutes before the interview. Her restlessness is caused by which hormone?",Adrenaline and noradrenaline,Estrogen and progesterone,Oxytocin and vasopressin,Insulin and glucagon
"In our bodies, what steroid regulates water and electrolytes?",aldosterone,insulin,melatonin,testosterone
What is the role of thymosin?,differentiation of T-lymphocytes,raising the blood sugar level,raising the blood calcium level,decrease in blood RBCs
Which statement is true?,"Endocrine glands regulate neural activity, and the nervous system regulates endocrine glands",Neither hormones control neural activity nor the neurons control endocrine activity,"Endocrine glands regulate neural activity, but not vice-versa","Neurons regulate endocrine activity, but not vice versa"
"After ovulation, which part of the ovary acts as an endocrine gland in mammals?",Graafian follicle,Stroma,Germinal epithelium,Vitelline membrane
The resident of a multistory building on the seventh floor starts descending the stairs quickly after feeling the tremors of an earthquake. This action was initiated by which hormone?,Adrenaline,Glucagon,Gastrin,Thyroxine
What pair of organs consists only of endocrine glands?,Parathyroid and Adrenal,Pancreas and Parathyroid,Thymus and Testes,Adrenal and Ovary
Which of the following is not likely to be affected by injury to the adrenal cortex?,Adrenaline,Aldosterone,Both Androstenedione and Dehydroep-iandrosterone,Cortisol
Which pair is incorrectly matched?,Glucagon – Beta cells (source),Somatostatin – Delta cells (source),Corpus luteum – Relaxin (secretion),Insulin – Diabetes mellitus (disease)
"The presence of toxic agents in food, which interfere with the synthesis of thyroxine, results in the development of what?",simple goitre,toxic goitre,cretinism,thyrotoxicosis
"Increased are of glycogenesis, blood pressure and heartbeat are all connected with which hormone?",Adrenaline,Insulin,Glucagon,FSH
"If ovaries are removed from a pregnant woman in the 4th month of her pregnancy, what would happen?",Embryo develops normally till birth,Development of embryo becomes abnormal,Abortion occurs after some time,None of these
"During pregnancy, corpus luteum persists because of a hormone called?",Chorionic gonadotropic hormone,FSH,Estrogen,Progesterone
Which one of the following is a temporary endocrine gland?,Placenta,Pineal,Pancreas,Parathyroid
"A human female begins to develop male characteristics like beards, enlarged clitoris, degeneration of uterus and ovaries etc. This may be due to",Overproduction of adrenal androgens,Overproduction of oestrogen and testosterone,Damage to the posterior pituitary,Surgical removal of mammary gland
What is the function of renin?,degradation of angiotensinogen to angiotensin-II,to reduce blood pressure,vasodilation,stimulation of copious urination
What organs function as modulators and effectors respectively in the homeostatic regulation of blood sugar levels?,Hypothalamus and islets of langerhans,Liver and islets of langerhans,Hypothalamus and liver,Islets of langerhans and hypothalamus
What endocrine gland functions as a biological clock and a neurosecretory transducer?,Pineal gland,Adrenal gland,Thyroid gland,Thymus gland
"Before releasing its secretion into the bloodstream, which of the following endocrine glands stores its secretion in the extracellular space?",Thyroid,Pancreas,Adrenal,Testis
The hormone that regulates calcium and phosphorus metabolism is secreted from?,Parathyroid and thyroid both,Thyroid,Thymus,Pancreas
"Oral contraceptives contain progesterone, which prevents pregnancy by?",blocking ovulation,preventing the cleavage of the fertilized egg,preventing the formation of ova,creating an unfavourable chemical environment for the sperms to survive in the female reproductive tract
This is not a function of insulin,gluconeogenesis,decreasing glycogenolysis,lipogenesis,glycogenesis
