question,answer,wrong1,wrong2,wrong3
An aeroplane of mass \(3 *10^4\) kg and total wing area 120 \(m^2\) level flight at some height. The difference in pressure between upper and lower surfaces of its wings in kilopascal is (g = \(10 m/s^2\)).,2.5,5.0,10.0,12.5
Viscosity of liquid and gases. With increase in temperature,Decreases and increases,Increases and decrease.,Increases.,Decreases.
A cork rises up from bottom of water to finally float in water. Then its graphical representation will be:,,,,
"Equal volume of two immiscible liquids of densities ρ and 2ρ are filled in a vessel. Two small holes are punched at depth h/2nand 3h/2  from the surface of lighter liquid. If V1 and V2 are the velocities of efflux at these two holes, then V1/V2  is",\(\frac{1}{2\sqrt{2}}\),1/2,1/4,\(\frac{1}{\sqrt{2}}\)
"If the density of air is neglected, then radius of liquid drop with density \(900kg/m^3\) moving in air with coefficient of viscous medium \(1.85 *10^{- 5 }\)Ns/m with terminal velocity \(2.76 * 10^{-4}\) m/s",1.6μm,1.6 mm,1.6cm,1.6nm
The terminal velocity of an object in a liquid is 100m/s. What will be the terminal velocity of the object in the vacuum?,<100 m/s,> 100 m/s,= 100 m/s,Value cannot be attained.
When temperature of gas is increased its viscosity:,Remain constant.,Increases.,Decreases,First decreases then increases.
"Two drops of water having same radius moving in air downwards with constant velocity (v). If the drops coalesced, what will be the new new velocity",\(2^{1/3}u\),\((2^{2/3}-1)u\),\(2^{2/3}\),\((2^{2/3}-1)v\)
Two parallel square plates of length of 10 cm and moving with velocity 10 cm/s pass in liquid of viscosity 0.01 poise. If the force between the plates in liquid of 200 dyne then the separation between the plates is:,0.05 cm,5 cm,0.5 cm,0.005 cm
One poise is equal to:,\(0.1N-s/ m^2\),\(1N-s/ m^2\),\(10N-s/ m^2\),\(0.01N-s/ m^2\)
. Bernoulli's theorem is based on conservation of,Energy,Mass,Momentum,Pressure
"Two identical rain drops are falling with a terminal velocity v. If they coalesce to from a big drop, the terminal velocity of the bigger drop is",\(2^{2/3}v\),\(2^{1/3}\),v,\(\frac23v\)
"In a wide river, the velocity of water at the middle",Decreases with depth,Increase with depth,Is the same everywhere,Is zero
One poise equals to,\(10^{-1} Nsm^{-2}\),\(10^{} Nsm^{-2}\),\(100 Nsm^{-2}\),\(10^{-2} Nsm^{-2}\)
"A liquid kept in a cylindrical vessel is rotated along its axis. The liquid rises at side. If the radius of vessel is 0.05m and the speed of rotation is 2 rev/s, find the difference in the height of the liquid at the centre of the vessel and its sides.",0.02m,0.04m.,0.004m,0.002m
"Two hailstones with radii in the ratio 1:2 fall from a great height through the atmosphere. Then, their momentum are in the ratio after they attain terminal velocity is",1:32,1:2,1:4,1:16
"A liquid is flowing in a tube under streamline flow. If the radius of tube is doubled, the rate of flow becomes",16 times,4 times,2 times,1/4 times
"Two liquids of densities d1 and d2 are flowing in identical capillaries under same pressure difference. If t1 and t2 are times taken for the flow of equal quantities (masses) of liquids, then the ratio of coefficients of viscosities liquids will be",\(\frac{d_1t_1}{d_2t_2}\),\(\frac{t_1}{t_2}\),\(\frac{d_2t_2}{d_1t_1}\),\(\sqrt{\frac{d_1t_1}{d_2t_2}}\)
"The reading of a manometer fitted to a closed top is \(4×10^5N/m^2\). If the valve is opened, the reading of the manometer falls to \(3×10^5 N/m^2\). The velocity of water is:",12.1 m/sec,1.41 m/sec,2 m/sec,20 m/sec
"A tank full of water has a small hole at its bottom. If one fourth of the tank is emptied in t1 second and the remaining three fourth of the tank is emptied in t2 is; second, then the ratio t1/t2 is,",\(1/\sqrt{3}\),\(\sqrt{3}\),\(\sqrt{2}\),\(2\)
\(4m^3\) of water is to be pumped to a height of 20m and forced into a reservoir at a pressure of \( 2×10^5N/m^2\) The work done by the motor is (External pressure = \(10^5N/m^2\)),\(12×10^5 J\),\(8×10^5 J\),\(10×10^5 J\),\(32×10^5 J\)
The terminal velocity of a raindrop falling through air is v. If eight such identical drops get coalesced then  terminal velocity of the big drop through air will be,4v,8v,2v,v
