question,answer,wrong1,wrong2,wrong3
Voltage is 6 V and current is 0.5 A then power is,3 W,12 W,5 W,8 W
Two resistors of resistance R and 2R are connected in series in an electrical circuit. The ratio of heat produced in 2R to that in R is,2:1,4:1,1:2,1:4
"In an electrolytic solution, the density of CuSO4 during electrolysis",Remains constant,Increases,Decreases,Fluctuates
The mass of copper deposited is 2 gm at 12V for 30 minutes in voltmeter. What mass is deposited at 6 V for 45 minutes?,1.5 gm,0.5 gm,3 gm,4 gm
In D.C. circuit power dissipated per unit volume is proportional to:,square of electric field,Current,Resistance,Electric field
"In a dynamo, voltage is 6 V, current 0.5 A. What is the power generated?",3,12,1.5,5
"Two bulbs rated as 25W, 220V & 100W, 220V are connected in series in 220V line, the power consumed by them is","16 W, 4W","64W, 16W","36W, 9W","128W, 32W"
.A bulb with 220 volt consume the power of 66 watt. If it will be connected with 160 volt then the power consumed by the bulb will be,35 W,10 W,40 W,60 W
In order to light a 6W - 6V bulb at rated power a battery of emf 6V and internal resistance 20 is used. the bulb will light at power:,27/8W,6W,4W,16/3W
"The power of a bulb is 100 watt at 220 V. When the voltage is 110 V, power of the bulb is:",25W,"150 W,",50W,120W
"In metals, conduction of electricity is due to:",Free electrons,Bound electrons,lons,Atoms
"A bulb is rated at 100 V, 220 W. When the voltage drops by 2%, then change in power of bulb is",Decreases by 4%,Increases by 2%,Increases by 4%,Decreases by 2%
Electrolysis is possible in,Only DC,only AC,Both,Depends on voltage not AC or DC
To minimize the waste of electric energy into heat in high tension transmission,Current is minimized,Voltage is minimized.,Current is maximized,AC is converter to DC.
"Two electric bulb A and B are connected in parallel 21.The electric bulbs rated 60 W and 40 W are to a constant voltage source. A and B are rated as 60 Watt and P Watt respectively. If the resistance of A and B are in the ratio 2:3, P will be",40 W,20 W,25 W,30 W
Two wires of the same mass and material are drawn 1 mm and 2 mm thick. They are connected in series and a current is sent through them. The heat produced will be in the ratio,16:1,1:16,4:1,2:1
A bulb of power 100W has a voltage supply of 220V. What is the resistance of the bulb?,440,264,220,115
Lamps used for the house wiring are connected in,Parallel,Series,mixed grouping,arbitrary manner.
.A bulb is rated as 60 watt and 120 volt. The current through the bulb when the bulb is lighted at the rated voltage is,0.5 A,5 A,25A,0.25 A
If Cu and Ag voltameter are connected in series and same amount of current is passed for same time when mass of Ag deposited is x mg then mass of Cu deposited in mg will be,29x/108,108x.29,108/29x,29/108x
.The electric bulbs rated 60 W and 40 W are connected in series in a circuit. What will be the current flowing in the bulb of 60 W if the current flowing in the other is 1.5A?,1.5 A,1.0 A,2.0 A,2.5
"Two bulbs of 100 W and 40W are joined in series. If the current through 100 W bulb is 14, then the current through 40 W bulbs is",1A,2A,3A,0.6A
"If the strength of the current is decreased by 4 %, the power of the bulb will change by",8%,0.01%,2%,nearly 4%
The electrolyte used for electroplating gold on copper is,Potassium aurocyanite,Copper chlorite,Copper sulfate,Potassium cyanide
"The total number of bulbs that can be connected in series with a circuit having voltage of 220V, and 10A each is:",22,11,44,10
Mass of an electrolyte during electrolysis is proportional to:,Current,Square of current,Faraday's constant,None of above
Two bulbs of 500W and 300W are manufactured to operate on 220V line. The ratio of heat produced in 500W and 300W when connected in parallel combination is,5:3,9:25,3:5,1:1
"If a 2.0 μF condenser is charged to 100 watt and its
plates are connected by a wire, the heat produced
in the wire is",1×10-4,1×10-5,7x10-4,1×10-4
If a cell of emf 60V is connected across an external resistance of 2002. Then potential difference across cell for maximum heat generation is,30V,20V,40V,50V
