question,answer,wrong1,wrong2,wrong3
The no. of millimoles of HCI required to neutralize 10 ml of 0.2 M Na2CO3 is,4.0 m mole,2.0 m mole,0.2 m mole,"0,4 m mole"
100 ml of 0.5 M H2SO4 solution and 0.1 litre of 1 M HCI were mixed. The normality of the resulting solution will be,1 N,1.5 N,0.75 N,2.0 N
"200 ml of 0.2 M HCI is neutralized with 0.1 M NaOH. Then during their half neutralization, what will be the molarity of HCI ?",0.05 M,0.1 M,0.5 M,1 M
0.62 g of Na2CO3.H2O is added to 100 ml of 0.1 N H2SO4 solution. The resulting will be,Neutral,Acidic,Basic,Will not be affected
Find the molarity of 10% NaOH,2.5,1.5,4,0.4
10 ml of 2.5 N NaOH is mixed with 20 ml of 1.5 N HCl. The mixture is diluted to 100 ml. What is the nature of mixture?,Acidic and 0.05 N,Acidic and 0.01 N,Neutral,Alkaline and 0.05 N
"In the following reaction 4 N H2SO4 is taken, then, normality of K2SO4 is given by 

H2SO4 + KOH → K2SO4 +2H2O",4 N,2 N,1 N,1/2 N
"When 50 ml of HCl reacts with 10 gm of CaCO3, normality of the solution is",4 N,2 N,5 N,1 N
"0.4 gm of NaOH is added to 10 ml of 1 N HCl, the resulting solution is",Neutral,Acidic,Alkaline,None
10 ml of 2 M H2SO4 is mixed with 10 ml of H2O. 10 ml of mixture can neutralize............. of 2 N NaOH.,10 ml,20 ml,5 ml,15 ml
The amount of H2SO4 present in 500 ml of 2 N H2SO4 solution is,49 gm,89 gm,33.35 gm,24.5 gm
Phenolphthalein acts as best indicator in the titration of,(COOH)2 + NaOH,NaOH + H2SO4,FeCl3 + K2Cr2O7,HCl + NaOH
"10 cc of N/2 hydrochloric acid, 30 cc of N/10 nitric acid, and 60 cc of N/5 sulphuric acid are mixed together. What is the normality of the mixture?",N/5,N/10,N/2,N/20
"If a solution of pH=0, 100 ml of pure water is added, then the mixture will be",Acidic,Alkaline,Amphoteric,Neutral
You have 2.5 N and 0.625 N solutions. In which proportion would you mix these solutions to get 1 N of 1 litre solution?,200 ml and 800 ml,500 ml and 500 ml,800 ml and 200 ml,600 ml and 400 ml
The amount of water that is to be added to change the strength of a 100 ml HCl solution from 0.5 N to 0.2 N is,150 ml,250 ml,300 ml,500 ml
The weight of anhydrous sodium carbonate just enough to neutralize 100 ml of 0.1 M HCI will be,0.53 g,1.06 g,5.03 g,10.6 g
The no. of millimoles of HCl contained in 100 ml of 0.2 M HCl solution is,20 m mole,50 mole,100 m mole,200 m mole
The amount of oxalic acid crystals required to make 100 ml of decinormal solution is,0.63 g,12.6 g,1.26 g,6.3 g
The normality of 7.3% solution of HCI is............,2.0 N,0.2 N,7.3 N,0.1 N
The following pH curve indicates the titration between,Strong acid and strong base,Strong acid and weak base,Strong base and weak acid,Weak acid and weak base
Equivalent weight of KMnO4 in acidic medium,31.6,13.8,52.6,158
How many ml of 1M H2SO4 is required to completely neutralize 2 ml of 1 M NaOH?,1 ml,2 ml,0.5 ml,3 ml
Which of the following decreases with the increase in temperature?,Molarity,Molality,Mole fraction,Mole number
An acid of 0.6 N completely neutralizes a base of 0.3 N of 150 ml when the volume of acid is,75 ml,130 ml,175 ml,200 ml
Normality of 2 M sulphuric acid is,4N,2N,N/2,N/4
The normality of orthophosphoric acid having purity of 70% by weight and sp.gr. 1.54 would be,33 N,11 N,22 N,44 N
How many gm of a dibasic acid (Mol. wt. 200) should be present in 100 ml of its aqueous solution to give decinormal strength.,1 gm,2 gm,10 gm,20 gm
The indicator used in the titration of KMnO4 against FeSO4 is,none of these,phenolphthalein,K3Fe(CN)6,methyl orange
"In the titration of Na2CO3 and HCI, the indicator used is",methyl orange,methylene blue,phenolphthalein,litmus
The pink colour of phenolphthalein in alkaline medium is,due to negative form,due to positive form,due to \(OH^{-}\) ions,due to neutral form
No indicator can be used for the titration of,weak acid against a weak base,strong acid against a strong base,strong acid against a weak base,all of the above
Starch can be used as indicator for the detection of traces of,iodine in aqueous solution,glucose in aqueous solution,proteins in blood,urea in blood
"The equivalent weight of phosphoric acid (H3PO4) in the reaction 

NaOH + H3PO4 → NaH2PO4 + H2O is",98,25,49,59
Equivalent weight of KMnO4 acting as an oxidant in acidic medium is,one-fifth of its molecular weight,the same as its molecular weight,half of its molecular weight,one-third of its molecular weight
"In standardization of Na2S2O3 using K2Cr2O7 by iodometry, the equivalent weight of K2Cr2O7 is",MW/6,MW/2,MW/3,MW/1
"If the wt. of metal and chlorine in a metal chloride is in the ratio I: 2, the equivalent of the metal is",17.75,71,35.5,8.9
"To neutralise 20 ml of M/10 sodium hydroxide, the volume of M/20 hydrochloric acid required is",40 ml,10 ml,15 ml,20 ml
Volume of 0.6 M NaOH required to neutralize 30 cm³ of 0.4 M HCI is,20 cm³,30 cm³,50 cm³,45 cm³
Number of moles of K2Cr2O7 reduced by one mole of \(Sn^{2+}\) ions is,1/3,3,1/6,6
