question,answer,wrong1,wrong2,wrong3
When \(Cl_2\)is reacted with hot and conc. caustic soda. The product formed is,NaCl + \(NaClO_3\),NaCl +NaCIO,NaCIO+NaCIO3,\(NaClO_3 + H_2O\)
To obtain HI from Iodine which reagent is used?,\(H_2S\),HCI,\(Cl_2\),\(H_2O\)
Which of the following is the strongest acid?,HI,HF,HCl,HBr
Antichlor is,Chlorine absorber,Chlorine releaser,Bleaching agent,\(NH_3\) absorber
Deacon's process is employed for the manufacture,\(Cl_2\),\(HNO_3\),\(H_2SO_4\),\(NH_3\)
Which of the following compounds has the highest boiling point?,HF,HCl,hBr,HI
Chlorine acts as a bleaching agent only in,Moisture,Dry air,Sunlight,Oxygen
Which of the following is most volatile?,Hcl,Hbr,HI,HF
Which of the following halogen has the maximum value of electron affinity?,Cl,F,Br,I
Sea water is employed as a source of manufacture of,Bromine,Chlorine,Iodine,Fluorine
Pick out the correct statement?,Chlorine bleaches by oxidation and sulphur dioxide by reduction,Sulphur is lab reducing agent,Oxygen has the highest electronegativity,Hydrogen is a fire extinguisher gas
HCI can be prepared in conc. \(H_2SO_4\) but HBr cannot of be prepared in presence of conc. \(H_2SO_4\)because,HBr is more reducing than HCI,HBr is heavier than HCI,HBr is more oxidizing,\(Br_2\) doesn't react with \(H_2SO_4\)
Kl reacts with which of the following to liberate iodine.,\(Cl_2\),Zn,Mg,Al
Which of the following can yield bromine from KBr?,\(Cl_2\),\(I_2\),HI,\(HIO_3\)
"During of \(Cl_2\) from HCl, MnO2 acts as",Oxidizing agent,Reducing agent,Dehydrating agent,Catalyst
Which of the following is most metallic,\(I_2\),\(Br_2\),\(Cl_2\),\(F_2\)
"If the valance shell electronic structure for an element is ns²np⁵, then the element belongs to the group",Halogens,Alkali metals,Noble gases,Inert metals
Sea weeds are important source of,Iodine,Chlorine,Bromine,Fluorine
Chlorine gas is evolved by the action of,HCl on \(KMnO_4\),H₂SO4 on NaCl,HCl on \(K_2SO_4\),\(HNO_3 on KCl\)
Silver which is least soluble in NH4OH is,AgI,AgF,AgCl,AgBr
Bleaching powder Is an example of,A mixed salt,An acidic salt,A complex salt,A double salt
Excess of  chlorine reacts with Ammonia products formed are,\(NCl_3 And Hcl\),\(N_2 and NH_3\),\(N_2 and NCl_3\),\(N_2 and NH_4Cl\)
KI and CuSO4 solution when mixed it gives,\(CuI_2 + K_2SO_4 +I_2\),\(CuI_2 + K_2SO_4\),\(Cu_2I_2 + k_2SO_4\),\(CuI_2+ k_2SO_4 + I_2\)
The strongest oxidizing agent is,\(F_2\),\(Cl_2\),\(O_2\),\(O_3\)
Tincture of iodine is,"\(I_2\), KI and rectified sprit",\(I_2\) and rectified sprint,\(\)KI and rectified sprit,\(I_2 and water \)
Which of the following halogens is purified by sublimation?,\(F_2\),\(Cl_2\),\(Br_2\),\(I_2\)
Mark the halogen which is solid at room temperature,F,Cl,Br,I
Which reaction is not feasible?,2KI + Br₂-2KBr+ I2,2KBr+\(I_2\)→2KI+ \(Br_2\),2KBr+\(Cl_2\)→ 2KCI+ Br₂,\(2H_2O + F_2\): -> 4HF+O₂
Which of the following halogens has the greatest affinity,I,Cl,F,Br
The correct order of electron affinity among the following is,Br>CI>F,Cl>F> Br,F>Cl>Br,F>Br>Cl
"Among the halogens which has weakest bond

 

energy?",\(Br_2\),\(Cl_2\),\(F_2\),\(I_2\)
Oxidising action increases in the following order,Cl<Br<I<F,I<Br<Cl<F,I<F<Cl<Br,Cl<I<br<F
The halogen that is most easily reduced is,\(F_2\),\(Cl_2\),\(Br_2\),\(I_2\)
Fluorine is a better oxidising agent than Br2. It is due to,small size of fluorine,more electron repulsion in fluorine,more electronegativity of fluorine,non-metallic nature of the fluorine
Which of the following has the highest heat of hydration?,Chlorine,Bromine,Iodide,Fluorine
Which forms maximum with xenon?,F,Cl,Br,I
Fluorine shows only one oxidation state because,Its atom is smaller in size,It is volatile,It is highly electronegative,It has no d-orbital
"In electrolysis of HF-KF mixture in production of fluorine, the role of KF is",to make HF a conducting solution,to minimize corrosion,to lower solubility of fluorine,to lower oxidation potential of fluorine
Fluorine reacts with water to give,HF and \(0_2\),HF and O\(F_2\),HF and \(O_3\),"HF , \(0_{2}\) and \(0_3\)"
