question,answer,wrong1,wrong2,wrong3
Salts of which of the following elements are mostly blue in colour?,Cu,Zn,Fe,Cr
The phenomenon in which white transparent crystal changes into white powder is called,Efflorescence,Deliquescence,Allotropy,Sublimation
"When copper nitrate is strongly heated, it is converted into",Cupric oxide,Cu metal,Cuprous oxide,Copper nitrate
Which of the nitrates on strong heating leaves the metal as the residue?,\(AgNO_3\),\(Pb(NO_3)_2\),\(Cu(NO_3)_2\),\(Al(NO_3)_3\)
The gas that turns lime water milky is,Both of these,\(CO_2\),\(SO_2\),None of these
A substance on treatment with dil.\(H_2SO_4\) liberates a colourless gas which produces (i) turbidity with baryta water and (ii) turns acidified dichromate solution green. The reaction indiicates the presence of,\(SO_3^{2-}\),\(CO_3^{2-}\),\(S^{2-}\),\(N{o_2}^-\)
Which of the following salt would give \(SO_2\) with hot and dil. \(H_2SO_4\)and also decolourizes \(Br_2\)water?,\(Na_2SO_3\),\(NaHSO_4\),\(Na_2SO_4\),\(Na_2S\)
"A salt which gives ives \(CO_2\)with hot \(H_2SO_4\), and also decolourizes acidified \(KMnO_4\) on warming is",Oxalate,\(HCO_3^-\),\(CO_3^{2-}\),Acetate
Heating of oxalic acid with conc.\(H_2SO_4\)gives,\(CO+CO_2\),CO,\(CO_2\),None
Nitrate is confirmed by ring test. The brown colour of the ring is due to formation of,Nitroso ferrous sulphate,Ferrous nitrite,Ferrous nitrate,\(FeSO_4N_2O\)
Composition of brown ring is,\(FeSO_4.NO\),\(FeSO_4.NO_2\),\(FeSO_4.N_2O\),\(Fe(NO_3)_2\)
Which is most soluble in water?,AgF,AgCl,AgBr,Agl
"In the chromyl chloride test, the reagent used is",\(K_2Cr_2O_7\),\(K_2CrO_4\),\(CrO_3\),\((NH_4)_2Cr_2O_7\)
"When \(K_2Cr_2O_7\)crystals are heated with conc. HCl, the gas evolved is",\(CrO_2Cl_2\),\(O_2\),\(Cl_2\),HCl
Chromyl chloride test is performed for the confirmation of the presence of the following in a mixture,Chloride,Sulphate,Chromium,Chromium and chloride
Bromine vapours turn starch iodide paper,Blue,Violet,Yellow,Red
Which of the following will not produce a precipitate with \(AgNO_3\)solution?,\(F^-\),\(Br^-\),\(CO_3^{2-}\),\(PO_4^{3-}\)
Mercurous ion is represented as,\(Hg_2^{2+}\),\(Hg^{2+}\),\(Zn^{2+}\),\(Cd^{2+}\)
An inorganic salt solution on treatment with HCl gives a white ppt. Which of the following metal ions is possible?,\(Hg^+\),\(Hg^{2+}\),\(Zn^{2+}\),\(Cd^{2+}\)
The ion which is not precipitated by \(H_2S\)is the presence of HCI is,\(Al^{3+}\),\(Cu^{2+}\),\(Ag^+\),\(Pb^{2+}\)
"In photography, \(NaS_2O_3.5H_2O\)is used",for the conversion of AgBr into soluble thiosulphate complex,in reduction of Ag metal from AgBr,for the conversion of AgBr into silver thiosulphate,for the conversion of AgBr into silver sulphate
Metal halide insoluble in water is,AgI,\(CaCl_2\),KBr,AgF
AgCl dissolves in ammonia solution giving,\(Ag(NH_3)_2^+ and cl^-\),"\(Ag^+,NH_4^+,Cl^-\)",\(Ag(NH_3)^+ and Cl^-\),\(Ag_2(NH_3)^{2+} and Cl^-\)
"When excess of \(SnCl_2\)is added to a solution of \(HgCl_2\), a white precipitate turning grey is obtained. The grey colour is due to the formation of",Hg,\(Hg_2Cl_2\),\(SnCl_4\),Sn
Lead has been placed in group 1st and 2nd because,It is partly soluble in water,It shows the valency one and two,It forms insoluble \(PbCl_2\),It forms lead sulphide
Of the following sulphides which one is insoluble in dilute acids but soluble in alkalies?,\(Sb_2S_3\),PbS,CdS,FeS
Yellow ammonium sulphide solution is a suitable reagent for the separation of,CdS and \(As_2S_3\),HgS and PbS,PbS and \(Bi_2S_3\),\(Bi_2S_3  and   CuS\)
Which of the sulphides is yellow?,CdS,ZnS,NiS,PbS
The group reagent for third group is \(NH_4OH\) in presence of,\(NH_4Cl\),\((NH_4)_2CO_3\),NaCl,\((NH_4)_2SO_4\)
"In third group, iron gives blood red colouration with ammonium thiocyanate due to the formation of the compound?",Ferric thiocyanate,Ferric cyanide,Ferric thiocyanate ion,Ferric thiocyanide
Prussian blue is formed when,Ferric sulphate reacts with \(K4[Fe(CN)_6]\),Ferrous sulphate reacts with \(FeCl_3\),Ferrous ammonium sulphate reacts with \(FeCl_3\),Ammonium sulphate reacts with \(FeCl_3\)
Ferric ion forms a prussian blue coloured ppt. due to,\(Fe_4[Fe(CN)_6]_3\),\(K_4[Fe(CN)_6]\),\(KMnO_4\),\(Fe(OH)_3\)
Zinc oxide is called,all the three,zinc white,chinese white,philospher's wool
Nessler's reagent is,\(K_2HgI_4 + KOH\),\(K_2HgI_4\),\(K_2HgI_2 + KOH\),\(K_2HgI_4 + KI\)
