question,answer,wrong1,wrong2,wrong3
"For a liquid, when cohesive force> adhesive force, the meniscus formed in a glass tube is",Convex upward,Concave upward,Both,None
The height upto which water will rise in a capillary tube will be,Minimum when water at 4°C,Maximum when water at 0° C,Maximum when water at 4°C,Minimum when water at 0°C
What is the shape of capillary tube of mercury glass when cohesive force is greater than adhesive force,Liquid meniscus is convex upward,Liquid meniscus is convex downward,Liquid meniscus is concave downward,Liquid meniscus is concave upward
"When liquid does not wet the surface, angle of contact is",>90°,90°,<90 °,180°
The amount of energy required to form a soap bubble of radius 2 cm from a soap solution is nearly (surface tension of soap solution= 0.03 N/m),3.01 x 10–⁴,5.06 x 10–⁴,50.1 x 10–⁴,30.16 x 10–⁴
"If a soap bubble expands, the pressure inside the bubble",Decrease,Increase,Remains the same,Is equal to the atmospheric pressure
Two capillary tube made of same material but different radius were dipped into water,Liquid rise more in smaller radius capillary tube,Liquid rise more in large radius capillary tube,Liquid rise equal in both,No effect
Oil kept in frying pan spreads more easily when it is hot. It is due to,Decrease in surface tension of oil,Decrease in viscosity of oil,Increase in viscosity of oil,Increase in angle of contact
The surface tension of soap solution is 25 x 10–³ N/m. The excess pressure in N/m² inside the soap bubble of diameter 1 cm is,20,25,10,5
"Water rises in a capillary tube to a high of 3 cm. If the tube is inclined to the liquid surface at 30° angle, the liquid will rise into the tube up to",3 cm,6 cm,1.5 cm,0.5 cm
Water proofing agent changes the angle of contact,From acute to obtuse value,From obtuse to acute value,From obtuse to π/2,From acute to π/2
Two soap bubbles of unequal sizes are blown at the end of a tube and the communication between them is opened,The smaller bubble collapses gradually and the larger bubble increases,The larger bubble collapses and the smaller bubble gradually increases,Both bubbles increase in size,Both bubbles increase in size
What is the reason for the water droplet to be spherical?,Surface tension,Viscosity,Terminal velocity,Pressure
A soap bubble having radius R then the work done to double the radius,24πR²T,8πR²T,32πR²T,16πR²T
The spherical Shape of rain-drop is due to,Surface tension,Density of the liquid,Atmospheric press,Gravity
"A square frame of side L is dipped in a liquid. On taking out, a membrane is formed. If the surface tension of the liquid is T, the force acting on the frame will be",8TL,2 TL,4TL,10TL
"Mercury does not wet glass, wood or iron because",Cohesive force is greater than adhesive force,Cohesive force is less than adhesive force,Angle of contact is less than 90,Cohesive force is equal to adhesive force
It is easy to wash clothes in hot water because it's,Surface tension is less,Surface tension is more,Consumes less soap,None of these
"The force required to separate two glass plates of area 10–²m² with a film of water 0.05 mm thick between them, is (surface tension of water is 70 x 10–³ N/m)",27 N,14 N,50 N,38 N
Energy needed in breaking a drop of radius R into n drops of radii R is given by,4πT(nr² - R²),4/3π (r³n - R²),4πT ( R² - nr²),4πT(nr² + R²)
Two droplets merge with each other and forms a large droplet. In this process,Energy is liberated,Energy is absorbed,Neither librated nor absorbed,Some mass is converted into enery
The work done in blowing a soap bubble of radius R of the solution of surface tension T will be,8 πr² T,2πr² T,4πr²T,4/3πr²T
"If two identical mercury drops are combined to form a single drop, then it's temperature will",Increase,Decrease,Remains the same,None of the above
The surface tension of a liquid at its boiling point,Becomes zero,Becomes infinity,Is equal to the value at room temperature,is half to the Value at the room temperature
"The pressure inside a small air bubble of radius 0.1 mm situated just below the surface of water will be equal to 

[Take surface tension of water 70 x 10–³ N/m and atmospheric pressure= 1.013 x 10⁵ N/m ]",1.027 x 10⁵ pa,2.054 x 10³ pa,1.027 x 10³ pa,2.054 x 10⁵ pa
"Due to capillary action, a  liquid will rise in a tube, if the angle of contact is",Acute,Obtuse,90°,Zero
Kerosene oil rise up the wick in a lantern,Due to surface tension of the oil,The wick attracts the kerosene oil,Of the diffusion of the oil through the wick,None of the above
"A capillary tube of radius R is immersed in water and water rises in it to a height H. Mass of water in the capillary tube is M. If the radius of the tube is doubled, mass of water that will rise in the capillary tube will now be",2M,M,M/2,4M
