question,answer,wrong1,wrong2,wrong3
If the difference in resonating lengths is 31.5 cm in resonance column. The wavelength produced is,63 cm,31.5 cm,49 cm,101.5 cm
If 20 vibrations is produced in 40 m wire then the wavelength of the wave is,2 m,0.5 m,3 m,4 m
A sonometer wire of 50 cm length produces 800 cycles per second. The length of sonometer wire required to produce 1000 cycles per second is:,40 cm,60 cm,50 cm,37.cm
A string of length 0.4 and mass 10-2 kg is tightly clamped at its ends. The tension in the string is 1.6 N. Identical wave pulses are produced at one end equal intervals of time At. The value of At. which allows construction interference successive pulses is:,0.10 s,0.05 s,0.20 s,0.40 s
"The frequency of a sonometer wire is 100 Hz. When the weights producing the tensions are completely immerse in water the frequency becomes 80 Hz and on immersing the weights in a certain liquid, the frequency becomes 60 Hz. The specific gravity of the liquid is:",1.77,1.42,1.83,1.21
A string fixed at both ends is vibrating in the lowest mode of vibration for which a point at quarter of its length from one end is a point of maximum displacement. The frequency vibration in this mode is 100 Hz. What will be the frequency emitted when it vibrates in the next mode such that this of point is again a point of max. displacement?,300 Hz,400 Hz,200 Hz,600 Hz
A group of notes which is integral multiple of fundamental note is called,Harmonics,Note,Beats,Doppler.
A tuning fork is in unison with sonometer wire of 60 m length. The length is increased by 10 cm then beat frequency become 4 beats/sec.,28 Hz,22 Hz,26 Hz,24 Hz
"The sound travels with speed 300 ms-1 in string, Then find the distance between two successive nodes. If frequency is 1000 Hz",15 cm,20 cm,30 cm,45 cm
A tube closed at one end containing air when excited produces the fundamental note of frequency 512 Hz. If the tube is open at both ends the fundamental frequency that can be excited is,1024 Hz,256 Hz,512 Hz,128 Hz
A sonometer wire is vibrating in its second overtone. There are,4 nodes and 3 antinodes.,2 nodes and 2 antinodes.,1 nodes and 2 antinodes.,3 nodes 3 antinodes.
A closed organ pipe and an open organ pipe have their first overtone identical in frequency. There lengths are in the ratio:,3:4,1:2,2:3,4:5
"A transverse wave passes with a speed of 3000 m/s along a stretched wire. If the tension in the wire increases 4 times, then the velocity wave will be:",6000 m/s,1500 m/s,3000 m/s,900 m/s
The first and second resonance obtained at depth of 21.5 cm and 65 cm in a resonance air column experiment. The third resonance will be obtained at,108.5 cm,98.5 cm,118.5 cm,88.5 cm
Timber of music depends upon,no of overtones,pitch,intensity,no of scales
"In a string, if tension is increases by 4 times then the velocity of transverse wave in string increases by",2 times,4 times,3 times,1 times
The equation of wave traveling in a string can be written as y = 3 соsπ(100 t - x). Its wavelength is,2 cm,3 cm,100 cm,5 cm
A tuning fork of frequency 480 Hz is used to vibrate a sonometer wire natural frequency 240Hz. The wire will vibrate with frequency of,480 Hz,240 Hz,720 Hz,1441 Hz
"A tuning fork of 216 Hz is vibrating with a string then the beat frequency is 8 Hz. When the tension in the string is increased, beat frequency decreases. Then the frequency of the string must",208 Hz,206 Hz,212 Hz,217 Hz
A standing wave between atoms has 3 nodes and 2 antinodes. The distance between the two atoms is 1.214. The wavelength of the wave is:,1.21 Å,2.42 Å,3.62 Å,6.03 A
"A long glass tube is held vertically in water. A tuning fork is struck and held over the tube. Strong resonance are observed at two successive lengths 0.16 m and 0.50 m above the surface of water. If the velocity of sound is 340 m/s, then the frequency of the tuning fork is:",500 Hz,128 Hz,256 Hz,384 Hz
A resonating column of air contains,stationary longitudinal waves,stationary transverse waves,transverse progressive,longitudinal progressive
Velocity of waves in a string depends upon:,tension in string,length of string,density of surrounding medium,temperature of atmospheres.
"With increase in temperature, the frequency of sound from an organ pipe",increases,changes erratically,remains unchanged,decreases
"The fundamental frequency of an open organ pipe is f. If half of it is dipped into water, then frequency will be",f,f/2,f/4,2f
"In a stationary wave, nodes are the points having",minimum displacement and maximum strain.,maximum displacement and maximum strain,maximum displacement and minimum strain,minimum displacement and minimum strain
In a stationary wave antinodes are the points having,maximum displacement and minimum strain,maximum displacement and maximum strain,minimum displacement and minimum strain,minimum displacement and maximum strain
At open end of an organ pipe,an antinode is always produced,a node is always produced,either antinode or node may be produced,neither node nor antinode is produced
The fundamental frequency of a closed organ pipe is f. The frequency of its first overtone is,3f,f,2f,f/2
"The displacement is given by the equation

\( y= А cos2πnt cos\frac{2πx}{ λ}\)

where A, n, λ are constants. It represents",two waves of same speed travelling in opposite directions,a progressive wave travelling along positive X-axis,a progressive wave travelling along negative X-axis,two waves. travelling in same direction with a phase difference of π
As an empty vessel is filled with water its frequency,increase,decrease,remains unchanged,none of these
