question,answer,wrong1,wrong2,wrong3
Polymers are formed by number of monomers. Adipic acid is one of the monomer of,"Nylon-6, 6",Bakelite,Nylon-6,Buna-S
Amino acid is called amphoteric because of,Alkalinity and acidity,Acidic character,Basic character,Salinity
. Baking powder consists of,tartarate,citrate,chlorate,iodate
The mordant in dye containing HSO3 is,Metal hydroxide,Sodium acetate,Cellulose,Tannin
Biuret test is for,Protein,Carbohydrate,Vitamin,None
Bakelite formed by polymerization of.,Formeldehyde,Acetal dehyde,Acetone,Carboxylic acid.
Which one is Anaesthetic?,CHCl3,C2H4,CH3CI,CCl4
Anticancer compound is,Cis [Pt. cl2(NH3)2],Ner [Co (NH2) Cl2,Cis [pt cl2NH3],NaptCl2.
Hydrolysis of sucrose is called,Inversion,Hydration,Saponification,Esterification
Acetyl salicylic acid is used as,Antipyretic,Antibiotic,Antiseptic,Antacid
Natural polymer is,Starch,Bakelite,Polystyrene,Polyvinyl chloride
The very dilute solution of the zinc sulphate is used as,Eye drops,Fertilizer,Germicide,Fungicide
.Alkaline hydrolysis of fats is known as:,Saponification,Acetylation,Esterification,Alkylation
The fibrous dye formed by oxidation is,Vat dye,Mordant dye,Dispersive dye,Azo-dye
Acetylsalicylic acid has:,Antipyretic property,Antiseptic property,Antibiotic property,Antacid property
Nylon - 66 is:,Polymide,Polysterase,Vinyl polymer,Acetic acid
The disaccharide present in milk is:,Lactose,Sucrose,Maltose,Cellobiose
Which of the following cannot form peptide bond,Acetic acid,Aspartic acid,Glutamic acid,Alanine
PVC is formed by the polymerization of,vinyl chloride,allyl chloride,fluoro ethane,ethylene
Amino acids usually exist in the form of zwitter ions. This means that they consist of:,The basic COO group and the acidic NH3+ group,The basic NH2 group and acidic COOH group,The basic NH3 group and the acidic COO group,The positive ammonium [NH4+] group and the amynegative chloride [Cl-] group.
Which of the following can be derived from coal,All,Dyes,Explosives,Medicine
". Which of the following is used as an antiseptic in
soap?",Phenol,Aniline,Salicyaldelyde,Picric acid
"Which of the following forms polymers of Nylon
thread?",polyamide,Polyester,poly vinyl,Polyethene
Hydrolysis of table sugar produces,glucose and fructos,two molecules of glucose,glucose and galactose,glucose and lactose
PVC is a,addition polymer,condensation polymer,copolymer,thermosetting polymer
The protein has which characteristic bond?,Peptide linkage,Glycosidic linkage,Phosphodiester,all of above
Oils and fats are ester of higher fatty acids with,glycerol,glycol,galactose,t-butylacohol
Which one of the following property is not shown,Antiseptic,antipyretic,,Analgesic
Teflon is a,Homopolymer,Co-polymer,Condensation polymer,inorganic polymer
A dye which are applied to the fabric after treating with a metal ion is,mordant dye,azodye,vat dye,nitro dye
Which of the following contains an aldehyde group?,Glucose,fructose,Starch,Cellulose
Which of the following gives maximum energy in metabolic process?,carbohydrate,protein,nucleic acid,lipid
Which of the following gives maximum energy in a metabolic process?,lipid,carbohydrate,protein,nucleic acid
"Hydrolysis of proteins in the presence of enzymes
produces",amino acids,aromatic acids,hydroxy acids,Dicarboxylic acid
Cane sugar on hydrolysis gives:,Glucose and fructose,Fructose and lactose,Glucose and Lactose,Glucose and ribose
Which one of the following is not found in RNA?,Tymine,Adenine,CYTISINE,Guanine
"Presence of peptide bond is the characteristic
feature of",protein,Carbohydrates,Lipid,Nucleic acid
Which of the following bases in purine?,adenine,tymine,uracil,cytosine
"Which of the following monomer is used to
synthesize PVC?",CH2=CHC,CH3CH=CH2,CH2=CH2,C6H5CH=CH2
polyethene is an example of,addition polymer,condensation polymer,thermo-resisting polymer,co-polymer
"A substance which can act both as an analgesic and
antipyretic is",aspirin,quinine,penicillin,morphine
Which one of the following is vat dye?,indigo,malachite green,matius yellow,alizarin
Which of the following properties is not shown by aspirin?,antiseptic,antipyretic,analgesic,anti-inflammatory
Teflon is a polymer of,tetraflouroethene,difluoroethane,monofluoroethane,tetraflouroethane
p-Acetamido- phenol is an,antipyretic,antibiotic,anesthetic,antiseptic
