question,answer,wrong1,wrong2,wrong3
The stomach in earthworm extends from segments,9th -14th,4th - 6th,6th - 7th,5th - 8th
"In mature earthworm, segments are covered by a prominent dark band of glandular tissue called clitellum.",14-16,12-13,15-17,16-18
The characteristics feature of the intestine between 26-35 segments is the presence of the internal fold of dorsal wall called,Typhlosole,Nephridium,Pheretima,Clitellum
Blood glands of earthworm are present on the segments,"4th, 5th and 6th segments","4th, 6th and 7th segments","3rd, 4th and 5th segments","2nd, 3rd and 4th segments"
,(ii) (iii) (iv) (i),(ii) (iii) (i) (iv),(iv) (i) (iii) (ii),(i) (iv) (iii) (ii)
Which one of the following organisms bear hollow and pneumatic long bones?,Neophron,Hemidactylus,Macropus,Ornithorhynchus
Nitrogenous waste is excreted in the form of pellet or paste by:,Pavo,Ornithorhynchus,Salamander,Hippocampus
The unique mammalian characteristics are:,"hairs,pinna and mammary glands","hairs,pinna ad indirect developmen","pinna,monocondylic skull and mammary glands","hairs, tympanic membrane and mammary glands"
,B and C only,"B,D and E only","C,D an E only","A,C and D only"
"Following are the statement about prostomium of earthworm.

a) It serves as a covering for mouth

b) It helps to open cracks in te soil into which it can crawl.

c) It is one of the sensory structures

d) It is the first body segment","(a), (b) and (c) are correct","(a), (b) and (d) are correct","(a), (b), (c) and (d) are correct",(b) and (c) are correct
,(iv) (iii) (ii) (i),(iii) (ii) (i) (iv),(ii) (i) (iv) (iii),(i) (iv) (iii) (ii)
,(iii) (iv) (i) (ii),(iv) (i) (iii) (ii),(i) (ii) (iv) (iii),(ii) (iii) (i) (iv)
In the taxonomic categories which hierarchial arrangement in ascending order is correct in case of animals?,"Kingdom, Phylum, Class, Order, Family, Genus, Species","Kingdom, Class, Phylum, Family, Order, Genus, Species","Kingdom, Order, Class,Phylum,Family,Genus, Species","Kingdom, Order, Phylum, Class, Family"
Which of the following statements is not true?,Flippers of penguins and dolphins are pair of homologous organs,Analogous structures are a result of convergent evolution,Sweet potato and potato is an example of analogy,Homology indicates common ancestry
Blood glands of earthworm are present on the segments,"4th, 5th and 6th segments","4th, 6th and 7th segments","3rd, 4th and 5th segments","2nd, 3rd and 4th segments"
Pheritima posthuma and Periplanata are similar in which aspect,Both have ventral nerve cord,Both havenephridia as excretory organs,Both belong to same taxonomical group,All the above
The earthworm is placed under the group,Oligochaeta,Polychaeta,Hirudinea,Crustacea
Trochophore larva is found in,All of these,Chiton,Nereis,Aphrodite
Male genital aperture of earthworms is located in the segment,18,13,25,19
In earthworms fertilization occur in,Coccon,Oviduct,Spermatheca,Clitellum
In pheretima oxygen carrying haemoglobin occurs in,Plasma,Corpuscles,Both corpuscles and Plasma,The statement is wrong
"In Pheretima, there are redcoloured round bodies in 4th, 5th and 6th segmants above the alimentary canal. They are believed to be involved in",Leucocyte production,Excretion,Digestion,Reproduction
Nephridia of Earthworm are analogous to,Flame cell of Planaria,Nematoblast of Hydra,Trachea of insects,Gills of Prawn
Enteronephric nephridia of Earthworm are,Pharyngeal and septal,Pharyngeal,Septal,Integumentary
Hearts of Pheretima are situated in the segments,"7,9,12 and 13","10,13,16 and 17","4,5,10 and 13","11,14,17 and 18"
Major nitrogenous excretory material of Earthwom by,Urea,Uric acid,Ammonia,Amino acid
The colour of the body in earthworm is brown due to the presence of,Porphyrin,Haemoglobin,Blood,Haemocyanin
Flow of blood in dorsal blood vessel of eartheorm is,Forward,Backward,Sideward,Downward
Chloragogen cells are found in,The coelomic fluid of the earthworm,Blood of earthworm,Blood of cockroach,The body wall of leucosolenia
"Which one of the following exhibits concentric ""tube within tube"" plan",Oligochaeta,Arthropoda,Mollusca,Echinodermata
Earthworm increases the soil,Fertility,Alkalinity,Acidity,Salinity
Earthworm is,Both a and b,Ammonotelic,Ureotelic,Uricotelic
Earthworm is,Both a and b,Ammonotelic,Ureotelic,Uricotelic
Metamorphosis does not occur in,Earthworm,Cockroach,Forg,All
Intestinal caecae in Pheretima arise from intestine in segment,26 and extend upward,26 an extend backward,24 and extend forward,24 and extend backward
Chromophil cells present on pharynx of Earthworm take part in secretion of,Mucus,Lipases,Carbohydrases,All the above
Which of the folloing is absent in the coelomic fluid of earthworm?,Haemoglobin,Proteins,Salts,Corpuscles
Longitudinal muscle fibre is absent in,Gizzard,Mouth,Stomach,Intestine
What is common in earthworm and man?,Ureotelic,Ammonetelic,Uricotelic,Nephrotelic
Skeleton in Pheretima is,Hydrostatic,Bony,Cartilaginous,Dermal
Earthworm egests out undigested particles as faeces known as,Castings,Cast skins,Powdery soil,Granules
Photoreceptors in eartworms occur in,Epidermis of dorsal body wall,Epidermis of ventral body wall,Skin of prostomium,Skin of peristomium
The septal and pharyngeal nephridia open into alimentary canal and are of enteronephric type. It is an adaptation for,Conservation of water,Conservation of heat,Regulation of temperature,Regulation of amino acids
The no. of metamers in an earthworm is,100-120,70-80,150-170,90-100
Fleashy lobefold hood like structure overhanging the mouth is known as,Prostomium,Peistomium,Clitellum,Buccal cavity
Yellow cells in earthworm if found in,Coelom,Skin,Blood,Plasma
Origin of nephridia in earthworm is,Ectodermal,Endodermal,Mesodermal,Both a and b
"In annelids, masses of chromophil cells form the",Pharyngeal glands,Respiratory cells,Sensory system,Vascular system
In 15th segment of Phertima which types of nephridia is/are found?,Septal and integumentary,Septal and pharyngeal,Integumentary and pharyngeal,Septal nephridia only
Subpharyngeal nerves in earthworm are,Three pairs,One pairs,Two pairs,Four Pairs
Which o the following cells is found in coelom is the largest?,Amoebocyte / Phagocyte,Chloragogen cells,RBCs,Mucocytes
Coelomic fluid is secreted by,Parietal peritoneum,Epidermis,Pharynx,Clitellum
Earthworm eats on,Humus,Grass,Dry soil,Insects
Nephridia with nephrostomes are,Septal,Integumentary,Pharyngeal,Both a and b
The calciferous glands in earthworm are found in,Stomach,Buccal Cavity,Gizzard,Intestine
During copulation of earthworm sperm is received through,Spermathecal pore,Nephridial pore,Female genital pore,Dorsl pore
Setae of earthworm is made up of,Chitin,Cellulose,Hemicellulose,Pectin
Eartworm moves with the help of,Setae and muscles,Setae,Muscles,Parapodia
Earthworm moves with the help of,Setae,Mucus,Segmentation of body,Clitellum
Earthworm moves with the help of,All,Extension of the body,Anchorage of the body,Contraction of the body
Which of the following are found in all segment of earthworm?,Chloragogen cell,Ganglia,Nephridia,Setae
Cuticle of annelids is,Non-chitinous and albuminoid,Chitinous,Chitinous and albuminoid,Non-chitinous
The function of spermatheca in earthworm is,Receive sperm during copulation for storage,Produe sperm during copulation fro storage,Receive egg for fertilization,Secrete coccon
The function of spermatheca in earthworm is,Storing of sperm,Protection of sperm,Genration of sperm,Stimulus of ovum
Parasite found in the seminal vesicle of Earthworm is,Monocystis,Nystagmus,Nasema,Amphibians
Dorsal pores in earthworm are meant for passage of,Coelomic fluid,Blood,Waste materials,Gametes
If the skin of the earthworm dries it dies due to,Asphyxia,Dehydration,Starvation,Toxicity
