question,answer,wrong1,wrong2,wrong3
An inventor claims to have made an engine which consumes 1g of fuel per second (of calorific value 2 K cal/gm) and delivers 10 KW of power. Mark the correct statement.,This is impossible,This possible.,The possibility of invention is determined by design of engine,The possibility of invention is determined by nature of fuel used.
Two identical containers A and B with frictionless pistons contain the same ideal gas at the same temperature and volume V. The mass of gas in A is ma and that in B is me. The gas in each cylinder is now allowed to expand is thermally to the same final volume 2V. The change in pressure in A and B are found to be ΔP and 1.5 ΔP respectively. Then,3mA=2mB,4mA=9mB,2mA=3mB,9mA=4mB
The pressure and volume are changing but the temperature is constant in the process:,Isothermal,Adiabatic,Isobaric,Isochoric.
A refrigerator has to transfer an average. of 263J of heat per second from -10° C to 25° C. The average power consumed by the refrigerator is,35W,10 W,20W,40W
If a gas is allowed to expand adiabatically against external pressure:,There is decrease in internal energy.,Its temperature remains constant,Pressure remains constant.,There is increase in internal energy.
Efficiency of carnot engine working between 27° C and 127° C is,25%,50 %,100%,75 %
"In a carnot engine, the temperature of . the heat sink is 27 °C and that of the source is 327 °C., The efficiency of the engine is",50 %,75%,91 %,95 %
One mole of an ideal gas with γ = 1.4 is adiabatically compressed so that its temperature raise from 27° C to 35° C. The change in internal energy of the gas is,166J,- 166J,- 168J,168J
"The efficiency of a Carnot is 1/5. reducing the temperature of sink by 45° C, efficiency becomes 1/3. The initial temperature of the sink was",270 K,310 K,337 K,540 K
"The efficiency of a Carnot engine is 20 %. In reducing the temperature of sink 263k by 45° C, efficiency becomes 33.3 %. The initial temperature of the sink was",270 K,310K,337 K,540 K
In an isothermal condition,Heat given by surrounding is equal to work done.,Heat given by surrounding is equal to internal energy.,There is no heat loss to the surrounding,All
"If 1500 cal of heat is supplied to a System and 1000 J of work is done, what is the increases in internal energy?",5000J,2000J,4300J,6000J
What happens in adiabatic process?,The system is insulated from the surroundings.,Volume remains constant.,Pressure remains constant,The temperature remains constant.
"A carnot engine kept at temperature at 800.K and 400 K, the output of cycle is 800 J. Then the energy supplied by the source.",1600 J,800 J,1200 J,1500 J
In an isothermal process,Temperature remains constant.,Pressure remains constant,Thermal energy remains constant,Volume remains constant
"During adiabatic compression of 5  moles of gas, 250 I work was done, the change in internal energy will be:",-250 J,150 J,-150 J,250 J
The equation of adiabatic process is,ΔU=nCvΔT,ΔQ=nCpΔT,ΔQ=nCvΔT,ΔU=nCpΔT
"A carnot engine with efficiency η=1/10 works same as heat engine , it is made to work with refrigerator having work done = 10J temperature",90J,10J,1J,100J
If a gas is allowed to expand adiabatically against external pressure,There is decrease in internal energy,Its temperature remains constant,Pressure remains constant,There is increase in internal energy
A Carnot engine takes in 3000kcal of heat from a reservoir at 627°C and gives it to a sink at 27°C. The work done by the engine is,\(8.4 × 10^6J\),\(4.2 × 10^6J\),\(16.8 × 10^6J\),0
Which of the following is not correct?,It is possible to cool a gas to absolute zero temperature,"In an adiabatic condition, the system is allowed to undergo changes in thermal isolation from the surroundings.","In an isothermal condition, heat enters and leaves the system",Adiabatic process is accompanied by change in temperature and is quick
"If one mole of an ideal gas at STP is Cheated through 1 K, the work done by the gas in heat unit will be",1.98 cal,8.31 cal,0.831 cal,83.1 cal
A Carnot engine takes 300 calories of heat from a source at 500K and rejects 150 calories of heat to the sink. The temperature of the sink is,250K,400 K,150 K,100K
The maximum efficiency of an engine operating between 30°C and 300°C is,47.1%,4.71%,90%,9%
