question,answer,wrong1,wrong2,wrong3
Which of the following doesn't displace hydrogen?,Hg,Pb,Sn,Al
Ortho and para hydrogen differs in,Spin of proton,Spin of electron,Number of proton,All of these
"Hydrogen, deuterium and tritium have",Different neutrons,Different proton,Different electron,Same no. of neutron
The most reactive form of hydrogen is,Atomic,Ordinary,Nascent,Adsorbed
Hydrogen cannot be obtained by,Zn+dil. HNO3,Zn and dil.H2SO4,Mg + H2SO4,Mg and H2O
Which of the following particle is emitted by tritium?,Beta-particle,Gamma-particle,x-ray,Neutron
"In which of the following, finely divided nickel is used as a catalyst ?",Hydrogenation of oil,Haber's process of manufacture of NH3,Ostwald process of manufacture of HNO3,Contact process of H2SO4
Heavy water is used as,A moderator,Washing water,Dtetergent,Drinking water
The maximum possible no of hydrogen bonds a water molecule can form is,4,2,3,1
Which one of the following processes will produce hard water?,Saturation of water with CaSO4,Saturation of water with CaCO3,Saturation of water with MgCO3,Addition of Na2SO4 to water
"For softening of water by Calgon's process, the following chemical is used",Sodium hexametaphosphate,Slaked lime,Sodium-aluminium silicate,Sodium carbonate
Which of the following is best scientific method to test the presence of water in a liquid?,Use of anhydrous copper sulphate,Taste,Smell,Use of litmus paper
The high density of water in comparison to ice is due to,Hydrogen bonding,Ionic bonding,Covalent bonding,Dipole-dipole interaction
"A hydrated salt when exposed to air loses water, it is called as",Efflorescent,Deliquescent,Hygroscopic,None
Fenton's reagent is,FeSO4 + H2O2,SnCl2 + HCl,AgNO3 + NH2OH,CuSO4 + NaOH
Volume strength of 1.5N H2O2 solution is,8.4,4.8,3.0,8.0
Commericial hydrogen is obtained from,Coal gas,Oil gas,Marsh gas,Producer gas
"In When two ice cubes are pressed over each other, they unite to form one cube. Which of the following forces is responsible to hold them together?",Hydrogen bond formation,van der Waal's forces,covalent attraction,ionic interaction
The adsorption of hydrogen by plantinum is known as,Occulsion,Hydrogenation,Reduction,Dehydrogenation
"In para-hydrogen, spins of the electrons are in the",Opposite directions and so also the spins of the protons,Same direction but those of the protons in opposite directions,Opposite directions but those of the protons in same directions,Same direction and so also the spins of the protons
Pure water can be obtained from sea water by,reverse osmosis,Centrifugation,plasmolysis,sedimentation
Which of the following could act as a propellant for rockets?,Liquid hydrogen + liquid oxygen,Liquid hydrogen + liquid nitrogen,Liquid oxygen + liquid argon,Liquid nitrogen + liquid oxygen
Which of the following is used as both oxidising and reducing agent?,H2O2,KMnO4,K2Cr2O7,LiAlH4
"When zeolite, which is hydrated sodium aluminium silicate, is treated with hard water the sodium ions are exchanged with",Ca2+/Mg2+,H+,OH-,SO4-
Heavy water is made by,fractional distillation,freezing method,exhaustive electrolysis of alkaline water,chemical method
Hydrogen peroxide is not stored in glass bottles because,alkaline oxides in glass catalyse decomposition of H2O2,SiO2 of the glass reacts with it,glass dissolves in it,light passes through glass
Decomposition of H2O2 is favoured by,MnO2,Traces of acids,Alcohol,Acetanilide
The metal which gives hydrogen on treatment with acid as well as sodium hydroxide is,Zn,Fe,Cu,None of these
The reaction of H2O2 with X does not liberate gaseous product. Which of the following is X?,PbS,PbO2,KMnO4/H+,Cl2
