question,answer,wrong1,wrong2,wrong3
The noble gas forming maximum number of compounds is,Xe,Ne,Kr,Rn
The atomic mass of noble gases is determined with the help of the following relationship,Atomic mass=2× Vapour density=Molecular mass,Atomic mass=Equivalent mass × valency,Atomic mass= Equivalent mass/valency,Atomic mass=Valency/Equivalent mass
A clathrate may be defined as,Cage compound,Liquid crystal,Mixture,Solid solution
Helium-oxygen mixture is used by deep sea divers in preference to nitrogen-oxygen mixture because,Helium is much less soluble in blood than nitrogen,Nitrogen is much less soluble in blood than helium,Due to high pressure deep under the sea nitrogen and oxygen react to give poisonous nitric oxide,Nitrogen is highly soluble in water
The force acting between noble gas atoms are,Vander Waals forces,Ion -dipole force,London dispersion forces,Magnetic forces
Percentage of Ar in air is about,1%,2%,3%,4%
Which of the following statements about noble gases is false?,They form diatomic molecules,They are used to provide inert atmosphere in many chemical reactions,They are only sparingly soluble in water,Some of them are used to fill discharge tubes used for advertising signs
The oxidation number of Xe in XeOF2: is,4,0,2,3
Which of the following noble gas is not present in atmosphere?,Rn,He,Ne,Ar
The noble gas which was discovered first in the sun and then on the earth,Helium,Argon,Xenon,Neon
XeF4 on partial hydrolysis produce,XeOF2,XeF2,XeOF4,XeO3
Number of unpaired electrons in inert gas is,Zero,8,4,18
The element which has not yet been reacted with F2 is,Ar,Xe,Kr,Rn
The most abundant inert gas in atmosphere is,Ar,He,Ne,Kr
The number of lone pair of electrons present on Xe in XeF2 is,3,4,2,1
Which of the following is the life saving mixture for an asthma patient?,Mixture of helium and oxygen,Mixture of neon and oxygen,Mixture of xenon and nitrogen,Mixture of argon and oxygen
"Nobel gases are group of elements, which exhibit very",Low chemical activity,High chemical activity,Minimum electronegativity,Less diamagnetic properties
XeF6 on complete hydrolysis gives,XeO3,Xe,XeO2,XeO4
"The correct order of solubility in water for He,Ne,Ar,Kr,Xe",Xe>Kr> Ar> Ne> He,He> Ne> Ar> Kr> Xe,Ne> Ar>Kr> He > Xe,Ar> Ne> He > Kr> Xe
The noble gas was first time discovered by,William Ramsay,Cavendish,Lockyer,Frankland
Nobel gas doesn't occur in,Sea water,Ores,Atmosphere,Natural gas
B.Pt. and M.Pt. of inert gases are,Very low,High,Low,Very high
The most volatile of all liquid,Liquid He,Ether,Liquid Nitrogen,Liquid Neon
The mixture of noble gases is separated by,Dewar's coconut charcoal adsorption method,Ramsay-Rayleigh's first method,Ramsay-Rayleigh's second method,Fischer and Ringe method
Monazite is a source of,He,Kr,Ar,Ne
The gas that surrounds a radioactive element is,He,Ne,\(N_2\),\(O_2\)
"When electric discharge is passed through neon at low pressure, the colour of the glow is",Red,Green,Yellow,Orange
Sea drivers use mixture of He and \(O_2\)because,It doesn't dissolve in blood at high pressure,It is higher than \(N_2\),It is easily available,It is less reactive than \(N_2\)
Which of the following gas is used in conducting tube of tube light for colouring purpose.,Neon,Argon,Xenon,Nitrogen
Which of the following is more reactive,Xe,He,Ar,Kr
What is formed when xenon combines with fluorine in presence of mercury vapour?,\(Xef_2\),XeF,\(Xe_2F\),\(XeF_4\)
The coloured discharge tube for advertisment mainly contains,Neon,Xenon,Helium,Argon
Which gas is used to fill the electric bulbs/tubes?,Ar,\(O_2\),\(N_2\),He
"When the mineral clevite is heated,it gives off the inert gas",Helium,Argon,Xenon,Radon
The noble gas whose ionization enthalpy is closest to that of oxygen is,Xe,He,Ar,Kr
Which of the following is an explosive compound.,\(XeO3\),\(XeOF4 \),\(XeOF2 \),\(Xef_2\)
The noble gas which forms interstitial compound,Helium,Neon,Argon,Xenon
Which radioactive element is inert gas?,Rn,Ra,Pu,Po
Which of the following gas is not Polarisable?,He,Ar,Kr,Xe
Shape of \(XeF_4\) molecule is,Square planar,Linear,Pyramidal,Tetrahedral
